SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"SPAY.OLD","HORIZ ST US TSY PREM YLD ETF","SPAY.OLD","null","ETF","CA","TSE*"
"SPAY.U","GLB X SH-T US TR PRM YLD ETF","SPAY.U","USD","ETF","CA","TSE*"
"SPAY.U.O","HORIZ ST US TSY PREM YLD ETF","SPAY.U.OLD","null","ETF","CA","TSE*"
"SPLT","BROMPTON SPLIT CORP PREF","SPLT","CAD","ETF","CA","TSE*"
"SRIB","SCOTIA RESP INVEST CAN BD IN","SRIB","CAD","ETF","CA","AEQLIT*"
"SRIC","SCOTIA RESPON INV CAN EQ IND","SRIC","CAD","ETF","CA","AEQLIT*"
"SRII","SCOTIA RESPON INV INTL EQ IN","SRII","CAD","ETF","CA","AEQLIT*"
"SRIU","SCOTIA RESPON INV US EQ IN","SRIU","CAD","ETF","CA","AEQLIT*"
"STPL","BMO GLBL CONSUMER STAPLE CAD","STPL","CAD","ETF","CA","TSE*"
"SVR","ISHARES SILVER BULLION ETF","SVR","CAD","ETF","CA","TSE*"
"SVR.C","BLACKROCK SILVER BULLION TRU","SVR.C","CAD","ETF","CA","TSE*"
"SYLD","PURPOSE STRATEGIC YIELD FUND","SYLD","CAD","ETF","CA","TSE*"
"TBAL","TD BALANCED ETF PORTFOLIO","TBAL","CAD","ETF","CA","TSE*"
"TBCE","TD TGT 2025 INV GR BD","TBCE","CAD","ETF","CA","TSE*"
"TBCF","TD TGT 2026 INV GR BD","TBCF","CAD","ETF","CA","TSE*"
"TBCG","TD TGT 2027 INV GR BD","TBCG","CAD","ETF","CA","TSE*"
"TBIL","CANADIAN T-BILL ETF","TBIL","CAD","ETF","CA","TSE*"
"TBNK","TD CANADIAN BANK DVD INDEX","TBNK","CAD","ETF","CA","TSE*"
"TCBN","TD GLOBAL CARBON CRED IN ETF","TCBN","CAD","ETF","CA","TSE*"
"TCLB","TD CANADIAN LONG TERM FEDERA","TCLB","CAD","ETF","CA","TSE*"
"TCLV","TD Q CAD LOW VOLATILITY ETF","TCLV","CAD","ETF","CA","TSE*"
"TCON","TD CONSERVATIVE ETF PORTFOLI","TCON","CAD","ETF","CA","TSE*"
"TCSB","TD SELECT SHORT TERM CORP ET","TCSB","CAD","ETF","CA","TSE*"
"TCSH","TD CASH MANAGEMENT ETF","TCSH","CAD","ETF","CA","TSE*"
"TDB","TD CANADIAN AGRG BOND IN ETF","TDB","CAD","ETF","CA","TSE*"
"TDOC","TD GLOBAL HEALTHCARE LEADERS","TDOC","CAD","ETF","CA","TSE*"
"TEC","TD GLOBAL TECHNOLOGY LEADERS","TEC","CAD","ETF","CA","TSE*"
"TECH","EVOLVE FANGMA INDEX ETF","TECH","CAD","ETF","CA","TSE*"
"TECH.B","EVOLVE FANGMA INDEX-CAD UNHD","TECH.B","CAD","ETF","CA","TSE*"
"TECH.U","EVOLVE FANGMA INDEX ETF-USD","TECH.U","USD","ETF","CA","TSE*"
"TECI","TD GLOBAL TECH INNOVATORS","TECI","CAD","ETF","CA","TSE*"
"TECX","TD GL TECH LEAD CAD HDG INDX","TECX","CAD","ETF","CA","TSE*"
"TERM","MANULIFE SHORT TERM BOND ETF","TERM","CAD","ETF","CA","TSE*"
"TGAF","TRALUCENT GLOBAL ALT LONG/SH","TGAF","CAD","ETF","CA","TSE*"
"TGED","TD ACTIVE GLOBAL ENH DVD ETF","TGED","CAD","ETF","CA","TSE*"
"TGFI","TD ACTIVE GLOBAL INCOME ETF","TGFI","CAD","ETF","CA","TSE*"
"TGGR","TD ACTV GLOBAL EQUITY GR ETF","TGGR","CAD","ETF","CA","TSE*"
"TGRE","TD ACTIVE GLOBAL REAL ESTATE","TGRE","CAD","ETF","CA","TSE*"
"TGRO","TD GROWTH ETF PORTFOLIO","TGRO","CAD","ETF","CA","TSE*"
"THE","TD INTL EQTY CAD HEDG IN ETF","THE","CAD","ETF","CA","TSE*"
"THU","TD US EQUITY CAD HEDGED INDE","THU","CAD","ETF","CA","TSE*"
"TIF","NINEPOINT TARGET INCOME FUND","TIF","CAD","ETF","CA","AEQLIT*"
"TILV","TD Q INTERNATIONAL LOW VOLAT","TILV","CAD","ETF","CA","TSE*"
"TINF","TD ACTIVE GLOBAL INF EQ ETF","TINF","CAD","ETF","CA","TSE*"
"TIPS","BMO US TIPS INDEX ETF","TIPS","CAD","ETF","CA","TSE*"
"TIPS.F","BMO US TIPS INDEX ETF-HEDGED","TIPS.F","CAD","ETF","CA","TSE*"
"TKN","NINEPOINT WEB3 INNOVATORS FU","TKN","CAD","ETF","CA","TSE*"
"TLF","BROMPTON TECH LEADERS INCOME","TLF","CAD","ETF","CA","TSE*"
"TLV","INVESCO S&amp;P/TSX COMPOSITE LO","TLV","CAD","ETF","CA","TSE*"
"TMCC","TD MORNINGSTAR ESG CN CORP","TMCC","CAD","ETF","CA","TSE*"
"TMEC","TD MORNINGSTAR ESG CA EQ IND","TMEC","CAD","ETF","CA","TSE*"
"TMEI","TD MORNINGSTAR ESG INT EQ","TMEI","CAD","ETF","CA","TSE*"
"TMEU","TD MORNINGSTAR ESG US EQ IND","TMEU","CAD","ETF","CA","TSE*"
"TMUC","TD MORNINGSTAR ESG US CORP","TMUC","CAD","ETF","CA","TSE*"
"TOWR","BMO BF GL REAL ESTATE TECH","TOWR","CAD","ETF","CA","TSE*"
"TPAY","TD INCOME BUILDER ETF","TPAY","CAD","ETF","CA","TSE*"
