SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"ACAA","ARROW LONG/SHORT ALTR CL-CAD","ACAA","CAD","ETF","CA","TSE*"
"ADIV","ARRW EC EQTY ADGE ALT FUND","ADIV","CAD","ETF","CA","TSE*"
"AEMX","AGF EM MKTS EX CHINA FUND","AEMX","CAD","ETF","CA","AEQLIT*"
"AENU","AGF ENHANCED US EQTY INC FD","AENU","CAD","ETF","CA","AEQLIT*"
"AGLR","AGF GLOBAL REAL ASSETS FUND","AGLR","CAD","ETF","CA","AEQLIT*"
"AGSG","AGF GLOBAL SUSTAINABLE GROW","AGSG","CAD","ETF","CA","AEQLIT*"
"AIGO","GLOBAL X AIT INDEX ETF","AIGO","CAD","ETF","CA","TSE*"
"AMAX","HAMILTON GOLD PRODUCER YLD","AMAX","CAD","ETF","CA","TSE*"
"APLY","APPLE YLD SHARES PURPOSE","APLY","CAD","ETF","CA","AEQLIT*"
"ARB","ACCELERATE ARBITRAGE FUND","ARB","CAD","ETF","CA","TSE*"
"ARKG","BMO ARK GENOMIC REV FUND ETF","ARKG","CAD","ETF","CA","TSE*"
"ARKK","BMO ARK INNOVATION FUND ETF","ARKK","CAD","ETF","CA","TSE*"
"ARKW","BMO ARK NXT GEN INTRNT ETF","ARKW","CAD","ETF","CA","TSE*"
"ARTI","EVOLVE AI FUND","ARTI","CAD","ETF","CA","TSE*"
"ATSX","ACCELERATE CANADIAN L SH EF","ATSX","CAD","ETF","CA","TSE*"
"AUGB.F","FT VT US EQ BF ETF-AUG","AUGB.F","CAD","ETF","CA","TSE*"
"BANK","EVOL C BKN LC EN YLD IDX FD","BANK","CAD","ETF","CA","TSE*"
"BASE","EVOLVE GLOBAL MAT &amp; MIN EN Y","BASE","CAD","ETF","CA","TSE*"
"BASE.B","EVOLVE GLOBAL MAT &amp; MIN EN Y","BASE.B","CAD","ETF","CA","TSE*"
"BDIV","BROMPTON GLOBAL DIVIDEND-ETF","BDIV","CAD","ETF","CA","TSE*"
"BEPR","BROMPTON ENHANCED IG PREF","BEPR","CAD","ETF","CA","TSE*"
"BESG","INVESCO ESG CANADIAN CORE PL","BESG","CAD","ETF","CA","TSE*"
"BFIN","BROMPTON NORTH AMERICAN FINA","BFIN","CAD","ETF","CA","TSE*"
"BGC","BRISTOL GATE CONCENTRAT ETF","BGC","CAD","ETF","CA","TSE*"
"BGDV","BMO GLBL DVD OPPORTUNITIES","BGDV","CAD","ETF","CA","AEQLIT*"
"BGEQ","BMO GLOBAL EQUITY FUND","BGEQ","CAD","ETF","CA","AEQLIT*"
"BGHC","BMO GLOBAL HEALTH CARE FUND","BGHC","CAD","ETF","CA","AEQLIT*"
"BGIF","BMO GLBL INFRA FUND","BGIF","CAD","ETF","CA","AEQLIT*"
"BGIN","BMO GLOBAL INNOVATORS FUND","BGIN","CAD","ETF","CA","AEQLIT*"
"BGRT","BMO GLOBAL REIT FUND","BGRT","CAD","ETF","CA","AEQLIT*"
"BGU","BRISTOL GATE CONCEN US ETF","BGU","CAD","ETF","CA","TSE*"
"BGU.U","BRISTOL GATE CONCEN USD ETF","BGU.U","USD","ETF","CA","TSE*"
"BITI","BETAPRO INVERSE BITCOIN ETF","BITI","CAD","ETF","CA","TSE*"
"BKCC","GLO X EQU WGT CAND BNK COV C","BKCC","CAD","ETF","CA","TSE*"
"BKCC.OLD","HORIZONS EQUAL WEIGHT CANADI ","BKCC.OLD","null","ETF","CA","TSE*"
"BKCL","GLB X ENH EQ CDN ETF-A CAD I","BKCL","CAD","ETF","CA","TSE*"
"BKCL.OLD","HORIZ ENH EQ WT CAN BANK COV","BKCL.OLD","null","ETF","CA","TSE*"
"BLCK","FT INDXX INNOVATIVE TRANS/CA","BLCK","CAD","ETF","CA","TSE*"
"BLOV","BROMPTON NORTH AMER LOW VOL","BLOV","CAD","ETF","CA","TSE*"
"BMAX","BROMPTON ENH MULTI-ASSET ETF","BMAX","CAD","ETF","CA","TSE*"
"BNC","PURPOSE CDN FIF ETF SHARES","BNC","CAD","ETF","CA","TSE*"
"BND","PURPOSE GLOBAL BOND FUND","BND","CAD","ETF","CA","TSE*"
"BNKL","GLOBAL X ENHANCED EQL-A CD I","BNKL","CAD","ETF","CA","TSE*"
"BNKL.OLD","HORIZONS ENH EQ WEIGHT BANKS","BNKL.OLD","null","ETF","CA","TSE*"
"BOND","EVOLVE ENHANCED YLD BND FUND","BOND","CAD","ETF","CA","TSE*"
"BOND.B","EVOLVE ENHANCED YLD BND FUND","BOND.B","CAD","ETF","CA","TSE*"
"BPRF","BROMPTON FLAHERTY &amp; CRUMI ET","BPRF","CAD","ETF","CA","TSE*"
"BREA","BROMPTON SUST RL ASST DVD","BREA","CAD","ETF","CA","TSE*"
"BRKY","BERKSHIRE HATHAWAY YLD SH PU","BRKY","CAD","ETF","CA","AEQLIT*"
"BSKT","MANULIFE SMART CORE BOND ETF","BSKT","CAD","ETF","CA","TSE*"
"BTCC","PURPOSE BITCOIN ETF","BTCC","CAD","ETF","CA","TSE*"
"BTCC.B","PURPOSE BITCOIN ETF","BTCC.B","CAD","ETF","CA","TSE*"
"BTCC.J","PURPOSE BITCOIN ETF","BTCC.J","CAD","ETF","CA","TSE*"
"BTCC.U","PURPOSE BITCOIN ETF","BTCC.U","USD","ETF","CA","TSE*"
"BTCQ","3IQ BITCOIN ETF","BTCQ","CAD","ETF","CA","TSE*"
"BTCQ.U","3IQ BITCOIN ETF","BTCQ.U","USD","ETF","CA","TSE*"
"BTCX.B","CI GALAXY BITCOIN ETF","BTCX.B","CAD","ETF","CA","TSE*"
"BTCX.U","CI GALAXY BITCOIN ETF USD","BTCX.U","USD","ETF","CA","TSE*"
"BTCY","PURPOSE BITCOIN YIELD ETF","BTCY","CAD","ETF","CA","TSE*"
"BTCY.B","PURPOSE BITCOIN YIELD ETF","BTCY.B","CAD","ETF","CA","TSE*"
"BTCY.U","PURPOSE BITCOIN YIELD ETF-US","BTCY.U","USD","ETF","CA","TSE*"
"BUFR","FIRST TRUST VEST FUND OF BUF","BUFR","CAD","ETF","CA","AEQLIT*"
"BXF","CI 1-5 YEAR LADDERED GOVERN","BXF","CAD","ETF","CA","TSE*"
"CACB","CIBC ACTIVE INVESTMENT GRADE","CACB","CAD","ETF","CA","TSE*"
"CAFR","CIBC ACTIVE INVST GR BND ETF","CAFR","CAD","ETF","CA","TSE*"
"CAGG","CI CANADIAN AGG BD INDEX ETF","CAGG","CAD","ETF","CA","TSE*"
"CAGS","CI CN SH-TERM AG BD INDX ETF","CAGS","CAD","ETF","CA","TSE*"
"CALL","EVOLVE US BANKS ENHANCED YIE","CALL","CAD","ETF","CA","TSE*"
"CALL.B","EVOLVE US BANKS UNHEDGED","CALL.B","CAD","ETF","CA","TSE*"
"CALL.U","EVOLVE US BANKS ENHANCED YIE","CALL.U","USD","ETF","CA","TSE*"
"CANL","GLOB X ENH S&amp;P/TSX 60 IN ETF","CANL","CAD","ETF","CA","TSE*"
