SYMBOL,DESCRIPTION,IBKR SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"100D","AMUNDI FTSE 100-ETF DIST","100D","GBP","ETF","LU","LSE"
"100GBAGBP","UBS ETF FTSE 100","UB03","GBP","ETF","LU","LSE"
"100H","AMUNDI FTSE 100-ETF USD HA","100H","USD","ETF","LU","LSE"
"1OIS","WT WTI CRUDE 1X DLY SHORT","1OIS","GBP","ETF","JE","LSE"
"2BRT","WT BRENT CRUDE 2X DLY LVRGD","2BRT","GBP","ETF","JE","LSE"
"2BUL","WT GOLD 2X DAILY LEVERAGED","2BUL","GBP","ETF","JE","LSE"
"2NGA","WT NATURAL GAS 2X DLY LVRGD","2NGA","GBP","ETF","JE","LSE"
"36LL","WISDOMTREE LEAD MICROS","36LL","USD","ETF","JE","LSE"
"3CFL","WT COFFEE 3X DAILY LEVERAGED","3CFL","USD","ETF","JE","LSE"
"3OIS.OLD","WT WTI CRUDE 3X DLY SHORT","3OIS.OLD","null","ETF","IE","LSE"
"3SOI.OLD","WT WTI CRUDE 3X DLY SHORT","3SOI.OLD","null","ETF","IE","LSE"
"3SUL","WT SUGAR 3X DAILY LEVERAGED","3SUL","USD","ETF","JE","LSE"
"3WHL","WT WHEAT 3X DAILY LEVERAGED","3WHL","USD","ETF","JE","LSE"
"500D","AMUNDI S&amp;P 500 ETF USD D","500D","USD","ETF","LU","LSE"
"500G","AMUNDI S&amp;P 500 UCITS ETF","500G","GBP","ETF","LU","LSE"
"500U","AMUNDI S&amp;P 500 UCITS ETF","500U","USD","ETF","LU","LSE"
"5ESG","UBSETF S&amp;P 500 ESG H-GBP DIS","5ESG","GBP","ETF","IE","LSE"
"5HGG","OSSIAM ESG SHL BRC CAPE GLB","5HGG","GBP","ETF","FR","LSE"
"5HGU","OSSIAM ESG SHL BRC CAPE GLB","5HGU","USD","ETF","FR","LSE"
"AASG","AMUNDI MSCI EM ASIA UCITS","AASG","GBP","ETF","LU","LSE"
"AASU","AMUNDI MSCI EM ASIA UCITS","AASU","USD","ETF","LU","LSE"
"ABTCGBP","21SHARES BITCOIN SINGLE","ABTC","GBP","ETF","CH","LSE"
"ABTCUSD","21SHARES BITCOIN SINGLE","BTCU","USD","ETF","CH","LSE"
"ACWL","AM MSCI ALL C WRLD-ETF USD A","ACWL","GBP","ETF","LU","LSE"
"ACWU","AM MSCI ALL C WRLD-ETF USD A","ACWU","USD","ETF","LU","LSE"
"AEJL","AM MSCI AC APAC EX JPN-ETF A","AEJL","GBP","ETF","LU","LSE"
"AEMD","AMUNDI INDEX MSCI EM UCITS D","AEMD","GBP","ETF","LU","LSE"
"AEME","AM MSCI EM ETF DR EUR C","AEME","USD","ETF","LU","LSE"
"AEMU","AM MSCI EM ETF DR USD D","AEMU","USD","ETF","LU","LSE"
"AETHGBP","21SHARES ETHEREUM STAKING ET","AETH","GBP","ETF","CH","LSE"
"AETHUSD","21SHARES ETHEREUM STAKING ET","ETHU","USD","ETF","CH","LSE"
"AGAP","WT AGRICULTURE","AGAP","GBP","ETF","JE","LSE"
"AGCP","WT BROAD COMMODITIES","AGCP","GBP","ETF","JE","LSE"
"AGGB","UBS ETC ON CMCI AGRI GBP","AGGB","GBP","ETF","CH","LSE"
"AGGP","WT GRAINS","AGGP","GBP","ETF","JE","LSE"
"AGHG","AMUNDI GLB AGG BOND HDG GBP","AGHG","GBP","ETF","LU","LSE"
"AGRU","UBS ETC CMCI AGRICULTURE USD","AGRU","USD","ETF","CH","LSE"
"AIGA","WT AGRICULTURE","AIGA","USD","ETF","JE","LSE"
"AIGC","WT BROAD COMMODITIES","AIGC","USD","ETF","JE","LSE"
"AIGE","WT ENERGY","AIGE","USD","ETF","JE","LSE"
"AIGG","WT GRAINS","AIGG","USD","ETF","JE","LSE"
"AIGI","WT INDUSTRIAL METALS","AIGI","USD","ETF","JE","LSE"
"AIGL","WT LIVESTOCK","AIGL","USD","ETF","JE","LSE"
"AIGO","WT PETROLEUM","AIGO","USD","ETF","JE","LSE"
"AIGP","WT PRECIOUS METALS","AIGP","USD","ETF","JE","LSE"
"AIGS","WT SOFTS","AIGS","USD","ETF","JE","LSE"
"ALAG","AMUNDI MSCI EM LATIN AME ETF","ALAG","GBP","ETF","LU","LSE"
"ALAU","AMUNDI MSCI EM LATIN AME ETF","ALAU","USD","ETF","LU","LSE"
"ALUM","WT ALUMINIUM","ALUM","USD","ETF","JE","LSE"
"ALYU","UBS ETC ON CMCI ALU USD","ALYU","USD","ETF","CH","LSE"
"AMEG","AM I MSCI EM M SRI PAB G D","AMEG","GBP","ETF","LU","LSE"
"ANRJ","AMUNDI GLOBAL HYDROGEN ESG S","ANRJ","GBP","ETF","FR","LSE"
"ANXG","AMUNDI NASDAQ 100-USD","ANXG","GBP","ETF","LU","LSE"
"ANXU","AMUNDI NASDAQ 100-USD","ANXU","USD","ETF","LU","LSE"
"APEX","AM MSCI AC ASIA EX JPN-ETF A","APEX","USD","ETF","LU","LSE"
"ARCG","ARK GENOMIC REV UCITS ETF","ARCG","GBP","ETF","IE","LSE"
"ARCI","ARK ARTFCL INTLLGEN &amp; RBOTIC","ARCI","GBP","ETF","IE","LSE"
"ARCK","ARK INNOVATION UCITS ETF","ARCK","GBP","ETF","IE","LSE"
"ARKG","ARK GENOMIC REV UCITS ETF","ARKG","USD","ETF","IE","LSE"
"ARKI","ARK ARTFCL INTLLGEN &amp; RBOTIC","ARKI","USD","ETF","IE","LSE"
"ARKK","ARK INNOVATION UCITS ETF","ARKK","USD","ETF","IE","LSE"
"ASIL","AM MSCI CH ESG LEAD EX-ETF A","ASIL","GBP","ETF","LU","LSE"
"ASIU","AM MSCI CH ESG LEAD EX-ETF A","ASIU","USD","ETF","LU","LSE"
"AUAD","UBS MSCI AUSTRALIA AUD ADIS","AUAD","GBP","ETF","IE","LSE"
"AUEG","AMUNDI MSCI EMERGING MAR","AUEG","GBP","ETF","LU","LSE"
"AUEM","AMUNDI MSCI EMERGING MAR","AUEM","USD","ETF","LU","LSE"
"AUHGBA","UBS ETF AUSTRALIA H. GBP A","AUGA","GBP","ETF","IE","LSE"
"AWSRIH","UBS ETF ACWI SRI HDG GBP DIS","AWSG","GBP","ETF","IE","LSE"
"AWSRIWUSD","UBS ETF ACWI SRI HDG USD ACC","AWSR","USD","ETF","IE","LSE"
"BCCMG","UBS ETF BBG COMM CMCI HD GBP","UD06","GBP","ETF","IE","LSE"
"BCCU","UBS ETF BBG COMM CMCI USD","BCCU","USD","ETF","IE","LSE"
"BGX","EXPAT BULGARIA SOFIX UCITS","BGX","EUR","ETF","BG","LSE"
"BNKE","AM EURO STOXX BANKS-ETF ACC","BNKE","GBP","ETF","LU","LSE"
"BRIK","RIZE SUSTAINABLE INFRA ETF","BRIK","GBP","ETF","IE","LSE"
"BRNG","WT BRENT CRUDE OIL","BRNG","GBP","ETF","JE","LSE"
"BRNT","WT BRENT CRUDE OIL","BRNT","USD","ETF","JE","LSE"
"BRT3","UBS ETC ON CMCI BRENT 3M","BRT3","USD","ETF","CH","LSE"
"BRTG","UBS ETC ON CMCI BRENT GBP","BRTG","GBP","ETF","CH","LSE"
"BRTU","UBS ETC ON CMCI BRENT USD","BRTU","USD","ETF","CH","LSE"
"BRZ","AMUNDI MSCI BRAZIL","BRZ","USD","ETF","LU","LSE"
"BTCWUSD","WISDOMTREE PHYSICAL BITCOIN","BTCW","USD","ETF","JE","LSE"
"BULL","WT GOLD","BULL","USD","ETF","JE","LSE"
"BULP","WT GOLD","BULP","GBP","ETF","JE","LSE"
"BYBG","AMUNDI S&amp;P 500 BUYBACK","BYBG","GBP","ETF","LU","LSE"
"BYBU","AMUNDI S&amp;P 500 BUYBACK","BYBU","USD","ETF","LU","LSE"
"C50U","AMUNDI EURO STOXX 50 ETF DR","C50U","USD","ETF","LU","LSE"
"CACX","AMUNDI CAC 40","CACX","GBP","ETF","FR","LSE"
"CAHGBA","UBS ETF MSCI CANADA H. GBP","UC87","GBP","ETF","LU","LSE"
"CAPE","OSSIAM SHLR BCLY CAPE ERP SV","CAPE","EUR","ETF","LU","LSE"
"CAPU","OSSIAM SHILLER BRLY CAPE USD","CAPU","GBP","ETF","LU","LSE"
"CARB","WISDOMTREE CARBON","CARB","USD","ETF","JE","LSE"
"CARP","WISDOMTREE CARBON","CARP","GBP","ETF","JE","LSE"
"CATH","LYXOR MSCI WRLD CATHOLIC ESG","CATH","USD","ETF","LU","LSE"
"CATL","WT LIVE CATTLE","CATL","USD","ETF","JE","LSE"
"CB5","AMUNDI ETF MSCI EUROPE BANKS","CB5","GBP","ETF","FR","LSE"
"CBS5","UBS ETF US LIQCORPSU1-5 USDA","CBS5","GBP","ETF","LU","LSE"
"CBSE","UBS ETF BBG EU LIQ CORP SUST","CBSE","GBP","ETF","LU","LSE"
"CBSUSH","UBS ETF BBG US LIQ. C. SUST.","BSUS","GBP","ETF","LU","LSE"
"CBTC","21SHARES BITCOIN CORE ETP","CBTC","GBP","ETF","CH","LSE"
"CBTC","21SHARES BITCOIN CORE ETP","CBTU","USD","ETF","CH","LSE"
"CBUS","UBS ETF BBG. US LIQ. CORP.","UC76","USD","ETF","LU","LSE"
"CC1U","AMUN MC T ESG UCIT ETF-USD C","CC1U","USD","ETF","LU","LSE"
"CCUA","UBS ETF CMCI COM CARRY USD A","CCUA","GBP","ETF","IE","LSE"
"CCUSAS","UBS ETF CMCI COMPOS. USD","UC14","USD","ETF","IE","LSE"
"CCXAA","UBS ETF CMCI EX AGRI USD","CXAU","USD","ETF","IE","LSE"
"CCXAG","UBS ETF CMCI EX AGRI GBP","UD08","GBP","ETF","IE","LSE"
