SYMBOL,DESCRIPTION,IBKR SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
100D,AMUNDI FTSE 100-ETF DIST,100D,GBP,ETF,LU,LSE
100GBAGBP,UBS ETF FTSE 100,UB03,GBP,ETF,LU,LSE
1OIS,WT WTI CRUDE 1X DLY SHORT,1OIS,GBP,ETF,JE,LSE
2BRT,WT BRENT CRUDE 2X DLY LVRGD,2BRT,GBP,ETF,JE,LSE
2BUL,WT GOLD 2X DAILY LEVERAGED,2BUL,GBP,ETF,JE,LSE
2NGA,WT NATURAL GAS 2X DLY LVRGD,2NGA,GBP,ETF,JE,LSE
500G,AMUNDI S&P 500 UCITS ETF,500G,GBP,ETF,LU,LSE
5ESG,UBSETF S&P 500 ESG H-GBP DIS,5ESG,GBP,ETF,IE,LSE
5HGG,OSSIAM ESG SHL BRC CAPE GLB,5HGG,GBP,ETF,FR,LSE
AASG,AMUNDI MSCI EM ASIA UCITS,AASG,GBP,ETF,LU,LSE
ABTCGBP,21SHARES BITCOIN SINGLE,ABTC,GBP,ETF,CH,LSE
ACWL,AM MSCI ALL C WRLD-ETF USD A,ACWL,GBP,ETF,LU,LSE
AEJL,AM MSCI AC APAC EX JPN-ETF A,AEJL,GBP,ETF,LU,LSE
AEMD,AMUNDI INDEX MSCI EM UCITS D,AEMD,GBP,ETF,LU,LSE
AETHGBP,21SHARES ETHEREUM STAKING ET,AETH,GBP,ETF,CH,LSE
AGAP,WT AGRICULTURE,AGAP,GBP,ETF,JE,LSE
AGCP,WT BROAD COMMODITIES,AGCP,GBP,ETF,JE,LSE
AGGB,UBS ETC ON CMCI AGRI GBP,AGGB,GBP,ETF,CH,LSE
AGGP,WT GRAINS,AGGP,GBP,ETF,JE,LSE
AGHG,AMUNDI GLB AGG BOND HDG GBP,AGHG,GBP,ETF,LU,LSE
ALAG,AMUNDI MSCI EM LATIN AME ETF,ALAG,GBP,ETF,LU,LSE
AMEG,AM I MSCI EM M SRI PAB G D,AMEG,GBP,ETF,LU,LSE
ANRJ,AMUNDI GLOBAL HYDROGEN ESG S,ANRJ,GBP,ETF,FR,LSE
ANXG,AMUNDI NASDAQ 100-USD,ANXG,GBP,ETF,LU,LSE
ARCG,ARK GENOMIC REV UCITS ETF,ARCG,GBP,ETF,IE,LSE
ARCI,ARK ARTFCL INTLLGEN & RBOTIC,ARCI,GBP,ETF,IE,LSE
ARCK,ARK INNOVATION UCITS ETF,ARCK,GBP,ETF,IE,LSE
ASIL,AM MSCI CH ESG LEAD EX-ETF A,ASIL,GBP,ETF,LU,LSE
AUAD,UBS MSCI AUSTRALIA AUD ADIS,AUAD,GBP,ETF,IE,LSE
AUEG,AMUNDI MSCI EMERGING MAR,AUEG,GBP,ETF,LU,LSE
AUHGBA,UBS ETF AUSTRALIA H. GBP A,AUGA,GBP,ETF,IE,LSE
AWSRIH,UBS ETF ACWI SRI HDG GBP DIS,AWSG,GBP,ETF,IE,LSE
BCCMG,UBS ETF BBG COMM CMCI HD GBP,UD06,GBP,ETF,IE,LSE
BNKE,AM EURO STOXX BANKS-ETF ACC,BNKE,GBP,ETF,LU,LSE
BRIK,RIZE SUSTAINABLE INFRA ETF,BRIK,GBP,ETF,IE,LSE
BRNG,WT BRENT CRUDE OIL,BRNG,GBP,ETF,JE,LSE
BRTG,UBS ETC ON CMCI BRENT GBP,BRTG,GBP,ETF,CH,LSE
BULP,WT GOLD,BULP,GBP,ETF,JE,LSE
BYBG,AMUNDI S&P 500 BUYBACK,BYBG,GBP,ETF,LU,LSE
CACX,AMUNDI CAC 40,CACX,GBP,ETF,FR,LSE
CAHGBA,UBS ETF MSCI CANADA H. GBP,UC87,GBP,ETF,LU,LSE
CAPU,OSSIAM SHILLER BRLY CAPE USD,CAPU,GBP,ETF,LU,LSE
CARP,WISDOMTREE CARBON,CARP,GBP,ETF,JE,LSE
CB5,AMUNDI ETF MSCI EUROPE BANKS,CB5,GBP,ETF,FR,LSE
CBS5,UBS ETF US LIQCORPSU1-5 USDA,CBS5,GBP,ETF,LU,LSE
CBSE,UBS ETF BBG EU LIQ CORP SUST,CBSE,GBP,ETF,LU,LSE
CBSUSH,UBS ETF BBG US LIQ. C. SUST.,BSUS,GBP,ETF,LU,LSE
CBTC,21SHARES BITCOIN CORE ETP,CBTC,GBP,ETF,CH,LSE
CCUA,UBS ETF CMCI COM CARRY USD A,CCUA,GBP,ETF,IE,LSE
CCXAG,UBS ETF CMCI EX AGRI GBP,UD08,GBP,ETF,IE,LSE
CDTR,UBS ETF CMCI COM TRAN USD A,CDTR,GBP,ETF,IE,LSE
CE2D,AMUNDI MSCI EUR UCITS DR- D,CE2D,GBP,ETF,LU,LSE
CEG2,AMUNDI MSCI EUROPE UCITS DR,CEG2,GBP,ETF,LU,LSE
CEUR,AMUNDI MSCI EU ESG BROAD CTB,CEUR,GBP,ETF,LU,LSE
CG1,AMUNDI ETF DAX UCITS ETF DR,CG1,GBP,ETF,FR,LSE
CH5,AMUNDI ETF MSCI EUROPE HEALT,CH5,GBP,ETF,FR,LSE
CHGB,WT SHORT CHF LONG GBP,CHGB,GBP,ETF,JE,LSE
CHTE,UBS ETF CHINA TECH USD ACC,CHTE,GBP,ETF,LU,LSE
CI2G,AMUNDI MSCI INDIA,CI2G,GBP,ETF,LU,LSE
CIRC,RIZE CIRCULAR ECONOMY ETF,CIRC,GBP,ETF,IE,LSE
CJ1P,AMUNDI MSCI J ESG AMB CTB,CJ1P,GBP,ETF,LU,LSE
CLIM,AM GL AGG GREEN BOND-ETF A,CLIM,GBP,ETF,LU,LSE
CMBG,UBS ETC ON CMCI BCOM MLY GBP,CMBG,GBP,ETF,CH,LSE
CMGB,UBS ETC CMCI COMP MNTHLY GBP,CMGB,GBP,ETF,CH,LSE
CMGG,UBS ETC ON CMCI GSCI MLY GBP,CMGG,GBP,ETF,CH,LSE
CMU,AMUNDI MSCI EMU ESG LEADERS,CMU,GBP,ETF,LU,LSE
CNAL,AMUNDI MSCI CHINA A UCITS ET,CNAL,GBP,ETF,FR,LSE
CNEG,AM MSCI CH ESG LEAD SELECT C,CNEG,GBP,ETF,LU,LSE
CNSG,UBS ETF MSCI CHINA ESG USDD,CNSG,GBP,ETF,LU,LSE
CNUA,UBS ETF MSCI CHINA A USD ACC,CNUA,GBP,ETF,IE,LSE
COMG,AM BB EQ-W COM EX-AGRI-ETF A,COMG,GBP,ETF,LU,LSE
COPB,WT COPPER,COPB,GBP,ETF,JE,LSE
COUK,LYXOR IBOXX LQD CORP LNG,COUK,GBP,ETF,LU,LSE
CP9G,AMUNDI MSCI PAC EXJ SRI PA-C,CP9G,GBP,ETF,LU,LSE
CRPX,AM EUR CO BD PAB NZ AM-ETF A,CRPX,GBP,ETF,LU,LSE
CRUP,WT WTI CRUDE OIL,CRUP,GBP,ETF,JE,LSE
CS1,AMUNDI IBEX 35 UCITS ACC,CS1,GBP,ETF,FR,LSE
CSH2,LYXOR SMART CASH,CSH2,GBP,ETF,LU,LSE
CSWG,AMUNDI ETF MSCI SWITZERLAND,CSWG,GBP,ETF,LU,LSE
CU2G,AMUNDI PEA MSCI USA ESG LEAD,CU2G,GBP,ETF,LU,LSE
CW8G,AMUNDI MSCI WORLD UCITS-USD,CW8G,GBP,ETF,LU,LSE
CXAP,UBS ETF CMCI EX AGRI USD,CXAP,GBP,ETF,IE,LSE
CXAS,UBS ETC ON CMCI XAL CAP GBP,CXAS,GBP,ETF,CH,LSE
CYBP,RIZE CYBERSECURITY UCITS ETF,CYBP,GBP,ETF,IE,LSE
DAXX,AMUNDI DAX III-ETF ACC,DAXX,GBP,ETF,LU,LSE
DJEL,LYXOR DJ INDUSTRIAL AVERAG,DJEL,GBP,ETF,FR,LSE
DTEC,LYXOR MSCI DISR TECH ESG,DTEC,GBP,ETF,LU,LSE
E127,AM MSCI EM MARKETS II-ETF D,E127,GBP,ETF,LU,LSE
EABE1,AMUNDI MSCI EUROPE PAB NET Z,EABE,GBP,ETF,LU,LSE
EAHG,AMUN MSCI EMU SRI GBP-C,EAHG,GBP,ETF,LU,LSE
EART,AM EURO GOV GREEN BD-ETF A,EART,GBP,ETF,LU,LSE
EBUY,AMUNDI MSCI DIGITAL ECONOMY,EBUY,GBP,ETF,LU,LSE
ECRP,AMUNDI INDEX EURO CORPORATE,ECRP,GBP,ETF,LU,LSE
EDIV,AM S&P EU ZONE DVD AR ESG-EA,EDIV,GBP,ETF,LU,LSE
EGOG,UBS ETF GL GOV ESG LIQ HGBPD,EGOG,GBP,ETF,LU,LSE
EGOV,UBS ETF GL GOV ESG LIQ ACC,EGOV,GBP,ETF,LU,LSE
ELCR,LYXOR MSCI FUTURE MOBILITY,ELCR,GBP,ETF,LU,LSE
EMIG,UBS ETF EMIG ESG USD ACC,EMIG,GBP,ETF,LU,LSE
EMLO,UBS ETF EM MF ENH L CCY BOND,EMLO,GBP,ETF,LU,LSE
EMXG,AM MSCI EX CHINA ESG SELECT,EMXG,GBP,ETF,LU,LSE
ENGB,UBS ETC ON CMCI ENERGY GBP,ENGB,GBP,ETF,CH,LSE
EPRA,AMUNDI ETF FTSE EPRA GL UCTS,EPRA,GBP,ETF,LU,LSE
ESDG,AMUNDI MSCI EUROPE SRI P-D,ESDG,GBP,ETF,LU,LSE
ESGL,AM MSCI EU ESG LEAD-ETF A,ESGL,GBP,ETF,LU,LSE
ESRG,AMUNDI MSCI EUROPE SRI P-A,ESRG,GBP,ETF,LU,LSE
ETHC,21SHARES CORE ETHEREUM ETP,ETHC,GBP,ETF,CH,LSE
EUFM,UBS ETF EMU SEL FACTOR MIX,EUFM,GBP,ETF,LU,LSE
