SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"10AI","AMUNDI MSCI EUR UCITS DR- D","10AI","EUR","ETF","LU","IBIS*"
"10AM","AMUNDI GLB AGG BOND INCOME","10AM","EUR","ETF","LU","IBIS*"
"10AR","AMUNDI MSCI EM LATIN AME ETF","10AR","EUR","ETF","LU","GETTEX*"
"18MS","AMUNDI ETF SHORT EURO STOXX","18MS","EUR","ETF","FR","FWB*"
"21XJ","21SHARES BINANCE COIN ETP","21XJ","EUR","ETF","CH","FWB*"
"2B73","ISHARES MSCI WRLD GBP-H","2B73","EUR","ETF","IE","GETTEX*"
"2BAE","LEVERAGE SHARES 2X ALIBABA","2BAE","EUR","ETF","IE","LSEETF*"
"2INVE","AMUND IBEX35 DID -2X","2INVE","EUR","ETF","FR","BM*"
"2STE","LEVERAGE SHARES -2X SHORT TE","2STE","EUR","ETF","IE","LSEETF*"
"2SZM","GRANITESHARES 2X SHORT ZM","2SZM","EUR","ETF","IE","BVME.ETF*"
"3ABE","3X ABNB","3ABE","EUR","ETF","IE","LSEETF*"
"3ADE","LS 3X AMD","3ADE","EUR","ETF","IE","LSEETF*"
"3BRS","WT BRENT CRUDE 3X DLY SHORT","3BRS","EUR","ETF","IE","BVME.ETF*"
"3BUL","WT BUND 10Y 3X DLY LEVERAGED","3BUL","EUR","ETF","IE","BVME.ETF*"
"3DXE","3X GERMANY 40","3DXE","EUR","ETF","IE","LSEETF*"
"3EUS","WT EURO STOXX50 3X DLY SHORT","3EUS","EUR","ETF","IE","LSEETF*"
"3FBE","LEVERAGE SHARES 3X FACEBOOK","3FBE","EUR","ETF","IE","LSEETF*"
"3GLE","3X LONG GOLD","3GLE","EUR","ETF","IE","LSEETF*"
"3HCS","WT COPPER 3X DAILY SHORT","3HCS","EUR","ETF","IE","BVME.ETF*"
"3ITS","WT FTSE MIB 3X DAILY SHORT","3ITS","EUR","ETF","IE","BVME.ETF*"
"3LAX","GRANITESHARES +3X AXA","3LAX","EUR","ETF","IE","SBF*"
"3LCO","GRANITESHARES 3X LONG COIN","3LCO","EUR","ETF","IE","BVME.ETF*"
"3LNE","GRANITESHARES 3X LONG NFLX","3LNE","EUR","ETF","IE","LSEETF*"
"3NFE","LEVERAGE SHARES 3X NETFLIX","3NFE","EUR","ETF","IE","LSEETF*"
"3NGL","WT NATURAL GAS 3X DLY LVRGD","3NGL","EUR","ETF","IE","BVME.ETF*"
"3NIE","LS 3X LONG NIO","3NIE","EUR","ETF","IE","LSEETF*"
"3SBE","-3X ALIBABA","3SBE","EUR","ETF","IE","LSEETF*"
"3SIS","WT SILVER 3X DAILY SHORT","3SIS","EUR","ETF","IE","BVME.ETF*"
"3SKE","3X SOUTH KOREA","3SKE","EUR","ETF","IE","LSEETF*"
"3SLV","GRANITESHARES -3X LVMH","3SLV","EUR","ETF","IE","SBF*"
"3SMT","-3X MICROSOFT","3SMT","EUR","ETF","IE","LSEETF*"
"3SUL","WT SUGAR 3X DAILY LEVERAGED","3SUL","EUR","ETF","JE","BVME.ETF*"
