SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"AADA","21SHARES CARDANO ETP","AADA","CHF","ETF","CH","EBS*"
"ABBA","21SHARES BITCOIN SUISSE ETP","ABBA","CHF","ETF","CH","EBS*"
"ABTC","21SHARES BITCOIN SINGLE","ABTC","CHF","ETF","CH","EBS*"
"ACWI","SPDR ACWI","ACWI","CHF","ETF","IE","EBS*"
"ACWIS","UBS ETF MSCI ACWI H. CHF","ACWIS","CHF","ETF","IE","EBS*"
"ADAW","WISDOMTREE PHYSICAL CARDANO","ADAW","CHF","ETF","JE","EBS*"
"ADOT","21SHARES POLKADOT ETP","ADOT","CHF","ETF","CH","EBS*"
"ADSIC","ETP ADAPTIVV DC SWISS","ADSIC","CHF","ETF","CH","EBS*"
"ADWIC","ETP ADAPTIVV DWI","ADWIC","CHF","ETF","CH","EBS*"
"AETH","21SHARES ETHEREUM STAKING ET","AETH","CHF","ETF","CH","EBS*"
"AGGS","ISH GLB AGG CHF-H ACC","AGGS","CHF","ETF","IE","EBS*"
"AK8A","AMUNDI GLOBAL AGG SRI 1-5","AK8A","CHF","ETF","LU","IBIS*"
"ALGO","21SHARES ALGORAND ETP USD","ALGO","CHF","ETF","CH","EBS*"
"ALTS","21SHARES CRYPTO MCAP IDX ETP","ALTS","CHF","ETF","CH","EBS*"
"AQWA","GX CLEAN WATER UCITS A USD","AQWA","CHF","ETF","IE","EBS*"
"ATOM","21SHARES COSMOS ETP","ATOM","CHF","ETF","CH","EBS*"
"AUCHAH","UBS ETF GOLD H. CHF","AUCHAH","CHF","ETF","CH","EBS*"
"AUHCHA","UBS ETF AUSTRALIA H. CHF A","AUHCHA","CHF","ETF","IE","EBS*"
"AUSAUW","UBS ETF MSCI AUSTRALIA","AUSAUW","CHF","ETF","IE","EBS*"
"AVAX","21SHARES AVALANCHE ETP","AVAX","CHF","ETF","CH","EBS*"
"AWESG","UBS ETF ACWI ESG USD DIS","AWESG","CHF","ETF","IE","EBS*"
"AWESGS","UBS ETF ACWI UNIV LC CHFHACC","AWESGS","CHF","ETF","IE","EBS*"
"AWESGT","UBS ETF ACWI ESG HDG CHF DIS","AWESGT","CHF","ETF","IE","EBS*"
"AWSRI","UBS ETF ACWI SRI USD DIS","AWSRI","CHF","ETF","IE","EBS*"
"AWSRIS","UBS ETF ACWI SRI HDG CHF ACC","AWSRIS","CHF","ETF","IE","EBS*"
"AWSRIT","UBS ETF ACWI SRI HDG CHF DIS","AWSRIT","CHF","ETF","IE","EBS*"
"AXRP","21SHARES RIPPLE (XRP) ETP","AXRP","CHF","ETF","CH","EBS*"
"BCCMS","UBS ETF BBG COMM CMCI HD CHF","BCCMS","CHF","ETF","IE","EBS*"
"BEST","ETP ON THE MARKET BEST IND","BEST","CHF","ETF","CH","EBS*"
"BITC","COINSHARES PHYSICAL BITCOIN","BITC","CHF","ETF","JE","EBS*"
"BLOC","WISDOMTREE PHYSICAL CRYPTO M","BLOC","CHF","ETF","JE","EBS*"
"BS26","IVZ BULLETSHARES 2026 USD D","BS26","CHF","ETF","IE","EBS*"
"BS30","IVZ BULLETSHARES 2030 USD D","BS30","CHF","ETF","IE","EBS*"
"BTCA","15 FICAS ACTIVE CRYPTO","BTCA","CHF","ETF","CH","EBS*"
"BTCE","BTCETC BITCOIN ETP","BTCE","CHF","ETF","DE","EBS*"
"BTCL","LEONTEQ BITCOIN ETP","BTCL","CHF","ETF","CH","EBS*"
"BTCX","GLOBAL X BITCOIN ETP","BTCX","CHF","ETF","JE","EBS*"
"BUGU","GX CYBERSECURITY UCITS","BUGU","CHF","ETF","IE","EBS*"
"CAHCHA","UBS ETF MSCI CANADA H. CHF","CAHCHA","CHF","ETF","LU","EBS*"
"CANA","UBSETF MSCI CANADA CAD A-ACC","CANA","CAD","ETF","LU","EBS*"
"CASL","CARDANO ADA STAKING BY LQD E","CASL","CHF","ETF","CH","EBS*"
"CAUT","GX CHINAEVBATTERY UCITS ACC","CAUT","CHF","ETF","IE","EBS*"
"CAVE","VANECK SMART HOME ETF","CAVE","CHF","ETF","IE","EBS*"
"CB1MDX","AMUNDI - AMUNDI MDAX ESG II","CB1MDX","CHF","ETF","DE","EBS*"
"CB1TX","AMUNDI - AMUNDI TECDAX UCITS","CB1TX","CHF","ETF","DE","EBS*"
"CBBFL","LYXOR BUND FUT 2X LEV ETF","CBBFL","CHF","ETF","LU","EBS*"
"CBDX","HAN MED CANNABIS UCITS ETF","CBDX","CHF","ETF","IE","EBS*"
"CBESG","UBS ETF SBI CORP ESG","CBESG","CHF","ETF","CH","EBS*"
"CBEULC","COMSTAGE ETF MSCI EUR L/C-I","CBEULC","CHF","ETF","LU","EBS*"
"CBFEDF","AM FED FUNDS US D CASH-ETF D","CBFEDF","CHF","ETF","LU","EBS*"
"CBHSCE","LYXOR HSCEI UCITS ETF","CBHSCE","CHF","ETF","LU","EBS*"
"CBIO","GX CHINABIOTECH UCITS ACC","CBIO","CHF","ETF","IE","EBS*"
