SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"18MS","AMUNDI ETF SHORT EURO STOXX","18MS","EUR","ETF","FR","FWB*"
"1OIS","WT WTI CRUDE 1X DLY SHORT","1OIS","GBP","ETF","JE","LSE*"
"21XJ","21SHARES BINANCE COIN ETP","21XJ","EUR","ETF","CH","FWB*"
"2313857D","ICBCCS S&amp;P CHINA 500 UCT ETF","2313857D","GBP","ETF","IE","LSEETF*"
"2AMZ","LEVERAGE SHARES 2X AMAZON","2AMZ","GBP","ETF","IE","LSEETF*"
"2B73","ISHARES MSCI WRLD GBP-H","2B73","EUR","ETF","IE","GETTEX*"
"2BAE","LEVERAGE SHARES 2X ALIBABA","2BAE","EUR","ETF","IE","LSEETF*"
"2BRT","WT BRENT CRUDE 2X DLY LVRGD","2BRT","GBP","ETF","JE","LSE*"
"2FB","LEVERAGE SHARES 2X FACEBOOK","2FB","GBP","ETF","IE","LSEETF*"
"2JPM","LEVERAGE SHARES 2X JPMORGAN","2JPM","GBP","ETF","IE","LSEETF*"
"2OIL","2X LONG WTI OIL","2OIL","GBP","ETF","IE","LSEETF*"
"2UKS","WT FTSE 100 2X DAILY SHORT","2UKS","GBP","ETF","IE","LSEETF*"
"3BAB","LS 3X BABA","3BAB","GBP","ETF","IE","LSEETF*"
"3BAS","WT EURO STX BNK 3X DLY SHORT","3BAS","GBP","ETF","IE","LSEETF*"
"3BLR","WT BRENT CRUDE 3X DAILY LVRG","3BLR","GBP","ETF","IE","LSEETF*"
"3BP","LEVERAGE SHARES 3X BP ETP","3BP","GBP","ETF","IE","LSEETF*"
"3CHI","3X LONG CHINA","3CHI","GBP","ETF","IE","LSEETF*"
"3DXE","3X GERMANY 40","3DXE","EUR","ETF","IE","LSEETF*"
"3EUS","WT EURO STOXX50 3X DLY SHORT","3EUS","EUR","ETF","IE","LSEETF*"
"3FTP","GRANITESHARES 3X LONG FATANG","3FTP","GBP","ETF","IE","LSEETF*"
"3GLD","3X LONG GOLD","3GLD","GBP","ETF","IE","LSEETF*"
"3GLE","3X LONG GOLD","3GLE","EUR","ETF","IE","LSEETF*"
"3KOR","3X SOUTH KOREA","3KOR","GBP","ETF","IE","LSEETF*"
"3LRD","GRANITESHARES 3X LONG RDS-A","3LRD","GBP","ETF","IE","LSEETF*"
"3LUP","GRANITESHARES 3X LONG UBER","3LUP","GBP","ETF","IE","LSEETF*"
"3LWP","GRANITESHARES 3X LONG APPLE","3LWP","GBP","ETF","IE","LSEETF*"
"3NFL","LEVERAGE SHARES 3X NETFLIX","3NFL","GBP","ETF","IE","LSEETF*"
"3NGL","WT NATURAL GAS 3X DLY LVRGD","3NGL","EUR","ETF","IE","BVME.ETF*"
"3NIE","LS 3X LONG NIO","3NIE","EUR","ETF","IE","LSEETF*"
"3NIO","LS 3X LONG NIO","3NIO","GBP","ETF","IE","LSEETF*"
"3QQQ","3X US TECH 100","3QQQ","GBP","ETF","IE","LSEETF*"
"3SBE","-3X ALIBABA","3SBE","EUR","ETF","IE","LSEETF*"
"3SGO","WT GOLD 3X DAILY SHORT","3SGO","GBP","ETF","IE","LSEETF*"
"3SLV","3X LONG SILVER","3SLV","GBP","ETF","IE","LSEETF*"
"3SMT","-3X MICROSOFT","3SMT","EUR","ETF","IE","LSEETF*"
"3SPY","3X LONG US 500","3SPY","GBP","ETF","IE","LSEETF*"
"3SSI","WT SILVER 3X DAILY SHORT","3SSI","GBP","ETF","IE","LSEETF*"
"3STP","GRANITESHARES 3X SHORT TSLA","3STP","GBP","ETF","IE","LSEETF*"
"3SUL","WT SUGAR 3X DAILY LEVERAGED","3SUL","EUR","ETF","JE","BVME.ETF*"
"3SUS","-3X SHORT UBS","3SUS","GBP","ETF","IE","LSEETF*"
"3UBE","LS 3X UBER","3UBE","EUR","ETF","IE","LSEETF*"
"3UKL","WT FTSE 100 3X DLY LEVERAGED","3UKL","GBP","ETF","IE","LSEETF*"
"3VT","LS 3X TOTAL WORLD","3VT","GBP","ETF","IE","LSEETF*"
"3WHL","WT WHEAT 3X DAILY LEVERAGED","3WHL","EUR","ETF","JE","BVME.ETF*"
"3XPE","3X LONG XPENG","3XPE","GBP","ETF","IE","LSEETF*"
"4RTC","ETFS DAILY SHORT CATTLE","4RTC","EUR","ETF","JE","IBIS*"
"4UBR","UBS ETF GL LIQ CORP SUS HEUR","4UBR","EUR","ETF","LU","IBIS*"
