SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"1BRN","BRENT OIL ETC","1BRN","USD","ETF","IE","LSEETF*"
"1TSL","LS 1X TSLA","1TSL","USD","ETF","IE","LSEETF*"
"2PAL","WT PALLADIUM 2X DLY LVRGD","2PAL","USD","ETF","IE","LSEETF*"
"2SZM","GRANITESHARES 2X SHORT ZM","2SZM","USD","ETF","IE","LSEETF*"
"3BRL","WT BRENT CRUDE 3X DAILY LVRG","3BRL","USD","ETF","IE","LSEETF*"
"3SAP","GRANITESHARES 3X SHORT APPLE","3SAP","USD","ETF","IE","LSEETF*"
"3SFB","GRANITESHARES 3X SHORT FB","3SFB","USD","ETF","IE","LSEETF*"
"3SNF","GRANITESHARES 3X SHORT NFLX","3SNF","USD","ETF","IE","LSEETF*"
"AAP3","LEVERAGE SHARES 3X APPLE","AAP3","USD","ETF","IE","LSEETF*"
"ABN3","3X ABNB","ABN3","USD","ETF","IE","LSEETF*"
"ABTC","21SHARES BITCOIN SINGLE","ABTC","SEK","ETF","CH","SFB*"
"ACWIUN","UBS ETF MSCI ACWI H. USD","ACWIUN","MXN","ETF","IE","MEXI*"
"ADOTUSD","21SHARES POLKADOT ETP","ADOTUSD","USD","ETF","CH","EBS*"
"AETH","21SHARES ETHEREUM STAKING ET","AETH","SEK","ETF","CH","SFB*"
"AETHUSD","21SHARES ETHEREUM STAKING ET","AETHUSD","USD","ETF","CH","EBS*"
"AFLTN","AMUNDI USD FLOATING RATE COR","AFLTN","MXN","ETF","LU","MEXI*"
"AGEB","AMUNDI GBL EM BONDS IBOX ETF","AGEB","USD","ETF","LU","SBF*"
"AGEDN","ISHARES AGEING POPULATION","AGEDN","MXN","ETF","IE","MEXI*"
"AGGG","ISHARES CORE GLB AGG BOND","AGGG","USD","ETF","IE","LSEETF*"
"AGGUN","ISHARES CORE GLB AGG USD-H A","AGGUN","MXN","ETF","IE","MEXI*"
"AGRU","UBS ETC CMCI AGRICULTURE USD","AGRU","USD","ETF","CH","LSE*"
"AGUG","ISHARES CORE GLB AGG USD-H D","AGUG","USD","ETF","IE","AEB*"
"AIAI","L&amp;G ARTIFICIAL INTELLIGENCE","AIAI","USD","ETF","IE","LSEETF*"
"AIGA1N","WT AGRICULTURE","AIGA1N","MXN","ETF","JE","MEXI*"
"AIGI","WT INDUSTRIAL METALS","AIGI","USD","ETF","JE","LSE*"
"AIGL","WT LIVESTOCK","AIGL","USD","ETF","JE","LSE*"
"AIPU","AXA IM USD IG PAB UCITS ACC","AIPU","USD","ETF","IE","EBS*"
"ALTSUSD","21SHARES CRYPTO MCAP IDX ETP","ALTSUSD","USD","ETF","CH","EBS*"
"AMAL","SATURNA AL-KAWTHAR GLB FOCUS","AMAL","USD","ETF","IE","LSEETF*"
"AMZ2","LEVERAGE SHARES 2X AMAZON","AMZ2","USD","ETF","IE","LSEETF*"
"ANAU","AXA IM NASDAQ 100 UCITS ETF","ANAU","USD","ETF","IE","EBS*"
"ANRJ","AMUNDI GLOBAL HYDROGEN ESG S","ANRJ","USD","ETF","FR","EBS*"
"AQLS","ALQUANT LONG-SHORT US ETP","AQLS","USD","ETF","CH","EBS*"
"AQWAUN","GX CLEAN WATER UCITS A USD","AQWAUN","MXN","ETF","IE","MEXI*"
