SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"18MS","AMUNDI ETF SHORT EURO STOXX","18MS","EUR","ETF","FR","FWB*"
"21XJ","21SHARES BINANCE COIN ETP","21XJ","EUR","ETF","CH","FWB*"
"2B73","ISHARES MSCI WRLD GBP-H","2B73","EUR","ETF","IE","GETTEX*"
"2BAE","LEVERAGE SHARES 2X ALIBABA","2BAE","EUR","ETF","IE","LSEETF*"
"2SZM","GRANITESHARES 2X SHORT ZM","2SZM","EUR","ETF","IE","BVME.ETF*"
"3ABE","3X ABNB","3ABE","EUR","ETF","IE","LSEETF*"
"3DXE","3X GERMANY 40","3DXE","EUR","ETF","IE","LSEETF*"
"3EUS","WT EURO STOXX50 3X DLY SHORT","3EUS","EUR","ETF","IE","LSEETF*"
"3GLE","3X LONG GOLD","3GLE","EUR","ETF","IE","LSEETF*"
"3HCS","WT COPPER 3X DAILY SHORT","3HCS","EUR","ETF","IE","BVME.ETF*"
"3NGL","WT NATURAL GAS 3X DLY LVRGD","3NGL","EUR","ETF","IE","BVME.ETF*"
"3NIE","LS 3X LONG NIO","3NIE","EUR","ETF","IE","LSEETF*"
"3SBE","-3X ALIBABA","3SBE","EUR","ETF","IE","LSEETF*"
"3SMT","-3X MICROSOFT","3SMT","EUR","ETF","IE","LSEETF*"
"3SUL","WT SUGAR 3X DAILY LEVERAGED","3SUL","EUR","ETF","JE","BVME.ETF*"
"3SVE","GRANITESHARES 3X SHORT NVDA","3SVE","EUR","ETF","IE","LSEETF*"
"3UBE","LS 3X UBER","3UBE","EUR","ETF","IE","LSEETF*"
"3WHL","WT WHEAT 3X DAILY LEVERAGED","3WHL","EUR","ETF","JE","BVME.ETF*"
"4RTC","ETFS DAILY SHORT CATTLE","4RTC","EUR","ETF","JE","IBIS*"
"4UBI","UBS ETF MSCI USA SRI USD ACC","4UBI","EUR","ETF","IE","IBIS*"
"4UBR","UBS ETF GL LIQ CORP SUS HEUR","4UBR","EUR","ETF","LU","IBIS*"
"500E","AMUNDI S&amp;P 500 UCITS ETF","500E","EUR","ETF","LU","AEB*"
"500X","SPDR 500 ESG LEADERS ETF ACC","500X","EUR","ETF","IE","AEB*"
"50E","HSBC EURO STOXX 50 UCITS ETF","50E","EUR","ETF","IE","SBF*"
"540S","AMUNDI SMART FACTORY ETF","540S","EUR","ETF","LU","IBIS*"
"5ITL","WT FTSE MIB 5X DAILY LEV","5ITL","EUR","ETF","IE","BVME.ETF*"
"5QQE","LS 5X LONG QQQ","5QQE","EUR","ETF","IE","LSEETF*"
"AADA","21SHARES CARDANO ETP","AADA","CHF","ETF","CH","EBS*"
"ACWI","AM MSCI ALL C WRLD-ETF E ACC","ACWI","EUR","ETF","LU","SBF*"
"ADAW","WISDOMTREE PHYSICAL CARDANO","ADAW","CHF","ETF","JE","EBS*"
"ADOT","21SHARES POLKADOT ETP","ADOT","CHF","ETF","CH","EBS*"
"ADSIC","ETP ADAPTIVV DC SWISS","ADSIC","CHF","ETF","CH","EBS*"
"ADWIC","ETP ADAPTIVV DWI","ADWIC","CHF","ETF","CH","EBS*"
"AFLE","AMUNDI FLOAT RATE USD CP-C","AFLE","EUR","ETF","LU","SBF*"
