SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"1BRN","BRENT OIL ETC","1BRN","USD","ETF","IE","LSEETF*"
"1TSL","LS 1X TSLA","1TSL","USD","ETF","IE","LSEETF*"
"2AAP.OLD","LEVERAGE SHARES 2X APPLE","2AAP.OLD","null","ETF","IE","LSEETF*"
"2MSF.OLD","LEVERAGE SHARES 2X MICROSOFT","2MSF.OLD","null","ETF","IE","LSEETF*"
"2NVD.OLD","LEVERAGE SHARES 2X NVIDIA","2NVD.OLD","null","ETF","IE","LSEETF*"
"2SZM","GRANITESHARES 2X SHORT ZM","2SZM","USD","ETF","IE","LSEETF*"
"3BRL","WT BRENT CRUDE 3X DAILY LVRG","3BRL","USD","ETF","IE","LSEETF*"
"3NVD.OLD","LEVERAGE SHARES 3X NVIDIA","3NVD.OLD","null","ETF","IE","LSEETF*"
"3NVE.OLD","LEVERAGE SHARES 3X NVIDIA","3NVE.OLD","null","ETF","IE","LSEETF*"
"3OIS.OLD","WT WTI CRUDE 3X DLY SHORT","3OIS.OLD","null","ETF","IE","LSE*"
"3SFB","GRANITESHARES 3X SHORT FB","3SFB","USD","ETF","IE","LSEETF*"
"3SNF","GRANITESHARES 3X SHORT NFLX","3SNF","USD","ETF","IE","LSEETF*"
"3SOI.OLD","WT WTI CRUDE 3X DLY SHORT","3SOI.OLD","null","ETF","IE","LSE*"
"AAP2.OLD","LEVERAGE SHARES 2X APPLE","AAP2.OLD","null","ETF","IE","LSEETF*"
"AAP3","LEVERAGE SHARES 3X APPLE","AAP3","USD","ETF","IE","LSEETF*"
"AAPE.OLD","LEVERAGE SHARES 2X APPLE","AAPE.OLD","null","ETF","IE","LSEETF*"
"ABN3","3X ABNB","ABN3","USD","ETF","IE","LSEETF*"
"ADOTUSD","21SHARES POLKADOT ETP","ADOTUSD","USD","ETF","CH","EBS*"
"AETHUSD","21SHARES ETHEREUM STAKING ET","AETHUSD","USD","ETF","CH","EBS*"
"AFLE.OLD","AMUNDI ETF FLOAT RATE USD CP","FRNH.OLD","null","ETF","FR","FWB*"
"AFRN.OLD","AMUNDI FLOT R EUR CORP 1-3","AFRN.OLD","null","ETF","FR","FWB*"
"AGEB","AMUNDI GBL EM BONDS IBOX ETF","AGEB","USD","ETF","LU","SBF*"
"AGGG","ISHARES CORE GLB AGG BOND","AGGG","USD","ETF","IE","LSEETF*"
"AGRU","UBS ETC CMCI AGRICULTURE USD","AGRU","USD","ETF","CH","LSE*"
"AGUG","ISHARES CORE GLB AGG USD-H D","AGUG","USD","ETF","IE","AEB*"
"AHYE.OLD","AMUNDI ETF EUR HY LIQ BD IBX","AHYE.OLD","null","ETF","FR","FWB*"
"AIAI","L&amp;G ARTIFICIAL INTELLIGENCE","AIAI","USD","ETF","IE","LSEETF*"
"AIGI","WT INDUSTRIAL METALS","AIGI","USD","ETF","JE","LSE*"
"AIGL","WT LIVESTOCK","AIGL","USD","ETF","JE","LSE*"
"AIPU","AXA IM USD IG PAB UCITS ACC","AIPU","USD","ETF","IE","EBS*"
"ALTSUSD","21SHARES CRYPTO MCAP IDX ETP","ALTSUSD","USD","ETF","CH","EBS*"
"AMAL","SATURNA AL-KAWTHAR GLB FOCUS","AMAL","USD","ETF","IE","LSEETF*"
