SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"1OIS","WT WTI CRUDE 1X DLY SHORT","1OIS","GBP","ETF","JE","LSE*"
"2313857D","ICBCCS S&amp;P CHINA 500 UCT ETF","2313857D","GBP","ETF","IE","LSEETF*"
"2848","X MSCI KOREA","2848","HKD","ETF","LU","SEHK*"
"2AMZ","LEVERAGE SHARES 2X AMAZON","2AMZ","GBP","ETF","IE","LSEETF*"
"2BRT","WT BRENT CRUDE 2X DLY LVRGD","2BRT","GBP","ETF","JE","LSE*"
"2FB","LEVERAGE SHARES 2X FACEBOOK","2FB","GBP","ETF","IE","LSEETF*"
"2JPM","LEVERAGE SHARES 2X JPMORGAN","2JPM","GBP","ETF","IE","LSEETF*"
"2NVD","LEVERAGE SHARES 2X NVIDIA","2NVD","GBP","ETF","IE","LSEETF*"
"2OIL","2X LONG WTI OIL","2OIL","GBP","ETF","IE","LSEETF*"
"2UKS","WT FTSE 100 2X DAILY SHORT","2UKS","GBP","ETF","IE","LSEETF*"
"3007","X FTSE CHINA 50 1C","3007","HKD","ETF","LU","SEHK*"
"3015","X NIFTY 50 SWAP 1C","3015","HKD","ETF","LU","SEHK*"
"3020","X MSCI USA SWAP 1C","3020","HKD","ETF","LU","SEHK*"
"3036","X MSCI TAIWAN","3036","HKD","ETF","LU","SEHK*"
"3087","X FTSE VIETNAM SWAP","3087","HKD","ETF","LU","SEHK*"
"3BAB","LS 3X BABA","3BAB","GBP","ETF","IE","LSEETF*"
"3BAS","WT EURO STX BNK 3X DLY SHORT","3BAS","GBP","ETF","IE","LSEETF*"
"3BLR","WT BRENT CRUDE 3X DAILY LVRG","3BLR","GBP","ETF","IE","LSEETF*"
"3BP","LEVERAGE SHARES 3X BP ETP","3BP","GBP","ETF","IE","LSEETF*"
"3CHI","3X LONG CHINA","3CHI","GBP","ETF","IE","LSEETF*"
"3FTP","GRANITESHARES 3X LONG FATANG","3FTP","GBP","ETF","IE","LSEETF*"
"3GLD","3X LONG GOLD","3GLD","GBP","ETF","IE","LSEETF*"
"3KOR","3X SOUTH KOREA","3KOR","GBP","ETF","IE","LSEETF*"
"3LGP","GRANITESHARES 3X L ALPHABET","3LGP","GBP","ETF","IE","LSEETF*"
"3LLL","GRANITESHARES 3X LONG LLOYDS","3LLL","GBP","ETF","IE","LSEETF*"
"3LRD","GRANITESHARES 3X LONG RDS-A","3LRD","GBP","ETF","IE","LSEETF*"
"3LUP","GRANITESHARES 3X LONG UBER","3LUP","GBP","ETF","IE","LSEETF*"
"3LWP","GRANITESHARES 3X LONG APPLE","3LWP","GBP","ETF","IE","LSEETF*"
"3NFL","LEVERAGE SHARES 3X NETFLIX","3NFL","GBP","ETF","IE","LSEETF*"
"3NIO","LS 3X LONG NIO","3NIO","GBP","ETF","IE","LSEETF*"
"3PLT","3X PLTR","3PLT","GBP","ETF","IE","LSEETF*"
"3QQQ","3X US TECH 100","3QQQ","GBP","ETF","IE","LSEETF*"
"3SGO","WT GOLD 3X DAILY SHORT","3SGO","GBP","ETF","IE","LSEETF*"
"3SLV","3X LONG SILVER","3SLV","GBP","ETF","IE","LSEETF*"
"3SPY","3X LONG US 500","3SPY","GBP","ETF","IE","LSEETF*"
"3SSI","WT SILVER 3X DAILY SHORT","3SSI","GBP","ETF","IE","LSEETF*"
"3STP","GRANITESHARES 3X SHORT TSLA","3STP","GBP","ETF","IE","LSEETF*"
"3SUS","-3X SHORT UBS","3SUS","GBP","ETF","IE","LSEETF*"
"3TYS","WT US TREAS 10Y 3X DLY SHORT","3TYS","GBP","ETF","IE","LSEETF*"
"3UKL","WT FTSE 100 3X DLY LEVERAGED","3UKL","GBP","ETF","IE","LSEETF*"
"3VT","LS 3X TOTAL WORLD","3VT","GBP","ETF","IE","LSEETF*"
"3XPE","3X LONG XPENG","3XPE","GBP","ETF","IE","LSEETF*"
"5HGG","OSSIAM ESG SHL BRC CAPE GLB","5HGG","GBP","ETF","FR","LSE*"
"5QQQ","LS 5X LONG QQQ","5QQQ","GBP","ETF","IE","LSEETF*"
"5TIP","5X LONG TIPS","5TIP","GBP","ETF","IE","LSEETF*"
"5ULS","WT S&amp;P 500 5X DAILY SHORT","5ULS","GBP","ETF","IE","LSEETF*"
"AASG","AMUNDI MSCI EM ASIA UCITS","AASG","GBP","ETF","LU","LSE*"
"ACGUKD","UBS ETF MSCI ACWI H. GBP UKD","ACGUKD","GBP","ETF","IE","EBS*"
"AEGG","ISHARES GLB AGG ESG GBPHA","AEGG","GBP","ETF","IE","LSEETF*"
"AGAP","WT AGRICULTURE","AGAP","GBP","ETF","JE","LSE*"
"AGGB","UBS ETC ON CMCI AGRI GBP","AGGB","GBP","ETF","CH","LSE*"
"AIAG","L&amp;G ARTIFICIAL INTELLIGENCE","AIAG","GBP","ETF","IE","LSEETF*"
"AMEG","AM I MSCI EM M SRI PAB G D","AMEG","GBP","ETF","LU","LSE*"
"AMZN","LS 1X AMZN","AMZN","GBP","ETF","IE","LSEETF*"
"ANRJ","AMUNDI GLOBAL HYDROGEN ESG S","ANRJ","GBP","ETF","FR","LSE*"
"ARCG","ARK GENOMIC REV UCITS ETF","ARCG","GBP","ETF","IE","LSE*"
"ARKC","LS ARK GENOMIC REVOLUTION TR","ARKC","GBP","ETF","IE","LSEETF*"
"AUHGBA","UBS ETF AUSTRALIA H. GBP A","AUHGBA","GBP","ETF","IE","EBS*"
"AWESGG","UBS ETF ACWI ESG HDG GBP ACC","AWESGG","GBP","ETF","IE","EBS*"
"AWSRIH","UBS ETF ACWI SRI HDG GBP DIS","AWSRIH","GBP","ETF","IE","EBS*"
"BATG","L&amp;G BATTERY VALUE-CHAIN","BATG","GBP","ETF","IE","LSEETF*"
"BBGE","JPM BETAB EUR GOVT UCITS ETF","BBGE","GBP","ETF","IE","LSEETF*"
"BITCGBP","COINSHARES PHYSICAL BITCOIN","BITCGBP","GBP","ETF","JE","EBS*"
"BLOK","FT INDXX INNOV TRNSACT&amp;PROCS","BLOK","GBP","ETF","IE","LSEETF*"
"BNKE","AM EURO STOXX BANKS-ETF ACC","BNKE","GBP","ETF","LU","LSE*"
"BRNG","WT BRENT CRUDE OIL","BRNG","GBP","ETF","JE","LSE*"
"BTCEGBP","BTCETC BITCOIN ETP","BTCEGBP","GBP","ETF","DE","EBS*"
"BX26","IVZ BULLETSHARES 2026 USD D","BX26","GBP","ETF","IE","LSEETF*"
"BX27","IVZ BULLETSHARES 2027 USD D","BX27","GBP","ETF","IE","LSEETF*"
"CARP","WISDOMTREE CARBON","CARP","GBP","ETF","JE","LSE*"
"CBUG","ISHARES USD TRSRY 3-7YR GHD","CBUG","GBP","ETF","IE","LSEETF*"
"CCLG","GX CHINACLEANENERGY UCITS","CCLG","GBP","ETF","IE","LSEETF*"
"CCXAG","UBS ETF CMCI EX AGRI GBP","CCXAG","GBP","ETF","IE","EBS*"
"CDTR","UBS ETF CMCI COM TRAN USD A","CDTR","GBP","ETF","IE","LSE*"
"CE01","ISHARES EURO GOVT BOND 7-10Y","CE01","GBP","ETF","IE","LSEETF*"
"CEMX","ISHARES MSCI EM CONSUM GRWTH","CEMX","GBP","ETF","IE","LSEETF*"
"CEU1","ISHARES CORE MSCI EMU EUR A","CEU1","GBP","ETF","IE","LSEETF*"
