SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"1AMZ","LS 1X AMZN","1AMZ","USD","ETF","IE","LSEETF*"
"1ARW","LS ARK NEXTGEN INTERNET TRAC","1ARW","USD","ETF","IE","LSEETF*"
"1BRN","BRENT OIL ETC","1BRN","USD","ETF","IE","LSEETF*"
"1FB","LS 1X FB","1FB","USD","ETF","IE","LSEETF*"
"1GOO","LS 1X GOOG","1GOO","USD","ETF","IE","LSEETF*"
"1TSL","LS 1X TSLA","1TSL","USD","ETF","IE","LSEETF*"
"2PAL","WT PALLADIUM 2X DLY LVRGD","2PAL","USD","ETF","IE","LSEETF*"
"2SZM","GRANITESHARES 2X SHORT ZM","2SZM","USD","ETF","IE","LSEETF*"
"3BRL","WT BRENT CRUDE 3X DAILY LVRG","3BRL","USD","ETF","IE","LSEETF*"
"3FNG","GRANITESHARES 3X LONG FAANG","3FNG","USD","ETF","IE","LSEETF*"
"3LAA","GRANITESHARES 3X LONG BABA","3LAA","USD","ETF","IE","LSEETF*"
"3LMI","GRANITESHARES 3X LONG MSTR","3LMI","USD","ETF","IE","LSEETF*"
"3SAP","GRANITESHARES 3X SHORT APPLE","3SAP","USD","ETF","IE","LSEETF*"
"3SFB","GRANITESHARES 3X SHORT FB","3SFB","USD","ETF","IE","LSEETF*"
"3SFT","GRANITESHARES 3X SHORT FATAN","3SFT","USD","ETF","IE","LSEETF*"
"3SGF","GRANITESHARES 3X SHORT GAFAM","3SGF","USD","ETF","IE","LSEETF*"
"3SMD","GRANITESHARES -3X AMD","3SMD","USD","ETF","IE","LSEETF*"
"3SNF","GRANITESHARES 3X SHORT NFLX","3SNF","USD","ETF","IE","LSEETF*"
"3USL","WT S&amp;P 500 3X DLY LEVERAGED","3USL","USD","ETF","IE","LSEETF*"
"5HED","OSSIAM ESG LW CRB SHL BRC US","5HED","USD","ETF","IE","LSEETF*"
"AAP3","LEVERAGE SHARES 3X APPLE","AAP3","USD","ETF","IE","LSEETF*"
"ABN3","3X ABNB","ABN3","USD","ETF","IE","LSEETF*"
"ACUUKD","UBS ETF MSCI ACWI H. USD UKD","ACUUKD","USD","ETF","IE","EBS*"
"ACWIU","UBS ETF MSCI ACWI H. USD","ACWIU","USD","ETF","IE","EBS*"
"ADCO2","ADAPTIVV CONTROL CO2 ETP","ADCO2","USD","ETF","CH","EBS*"
"ADOTUSD","21SHARES POLKADOT ETP","ADOTUSD","USD","ETF","CH","EBS*"
"ADTIC","ADAPTIVV CONTROL US TECH ETP","ADTIC","USD","ETF","CH","EBS*"
"AETHUSD","21SHARES ETHEREUM STAKING ET","AETHUSD","USD","ETF","CH","EBS*"
"AGEB","AMUNDI GBL EM BONDS IBOX ETF","AGEB","USD","ETF","LU","SBF*"
"AGGG","ISHARES CORE GLB AGG BOND","AGGG","USD","ETF","IE","LSEETF*"
"AGRU","UBS ETC CMCI AGRICULTURE USD","AGRU","USD","ETF","CH","LSE*"
"AGUG","ISHARES CORE GLB AGG USD-H D","AGUG","USD","ETF","IE","AEB*"
"AIAI","L&amp;G ARTIFICIAL INTELLIGENCE","AIAI","USD","ETF","IE","LSEETF*"
"AIGC","WT BROAD COMMODITIES","AIGC","USD","ETF","JE","LSE*"
"AIGG","WT GRAINS","AIGG","USD","ETF","JE","LSE*"
"AIGI","WT INDUSTRIAL METALS","AIGI","USD","ETF","JE","LSE*"
"AIGL","WT LIVESTOCK","AIGL","USD","ETF","JE","LSE*"
"AIPU","AXA IM USD IG PAB UCITS ACC","AIPU","USD","ETF","IE","EBS*"
"AIUU","AXAIM MSCI USA PAB UCITS ETF","AIUU","USD","ETF","IE","EBS*"
"ALTSUSD","21SHARES CRYPTO MCAP IDX ETP","ALTSUSD","USD","ETF","CH","EBS*"
"ALYU","UBS ETC ON CMCI ALU USD","ALYU","USD","ETF","CH","LSE*"
"AMAL","SATURNA AL-KAWTHAR GLB FOCUS","AMAL","USD","ETF","IE","LSEETF*"
"AMD3","LS 3X AMD","AMD3","USD","ETF","IE","LSEETF*"
"AMZ2","LEVERAGE SHARES 2X AMAZON","AMZ2","USD","ETF","IE","LSEETF*"
"AMZ3","LEVERAGE SHARES 3X AMAZON","AMZ3","USD","ETF","IE","LSEETF*"
"ANAU","AXA IM NASDAQ 100 UCITS ETF","ANAU","USD","ETF","IE","EBS*"
"ANRJ","AMUNDI GLOBAL HYDROGEN ESG S","ANRJ","USD","ETF","FR","EBS*"
"AQLS","ALQUANT LONG-SHORT US ETP","AQLS","USD","ETF","CH","EBS*"
"AQUS","ALQUANT DYNAMIC US ETP","AQUS","USD","ETF","CH","EBS*"
"ARKG","ARK GENOMIC REV UCITS ETF","ARKG","USD","ETF","IE","LSE*"
"ARKI","ARK ARTFCL INTLLGEN &amp; RBOTIC","ARKI","USD","ETF","IE","LSE*"
"ARKK","ARK INNOVATION UCITS ETF","ARKK","USD","ETF","IE","LSE*"
"ASDV","SPDR ASIA DVD ARISTOCRATS","ASDV","USD","ETF","IE","LSEETF*"
"ASR1","BNP ECPI BLUE ECONOMY ESG","ASR1","USD","ETF","LU","IBIS*"
"ASRUSA","UBS ETF MSCI USA SRI UCITS","ASRUSA","USD","ETF","LU","EBS*"
"ATOMUSD","21SHARES COSMOS ETP","ATOMUSD","USD","ETF","CH","EBS*"
"AUEM","AMUNDI MSCI EMERGING MAR","AUEM","USD","ETF","LU","SBF*"
"AXTZ","21SHARES TEZOS STAKING ETP","AXTZ","USD","ETF","CH","EBS*"
"BA3S","-3X ALIBABA","BA3S","USD","ETF","IE","LSEETF*"
"BAS","LEVERAGE SHARES -1X SHORT BO","BAS","USD","ETF","IE","LSEETF*"
"BB3M","JPM BETA US TRE BD 0-3 USD A","BB3M","USD","ETF","IE","LSEETF*"
"BBTR","JPM BETA US TRE BD UCITS ETF","BBTR","USD","ETF","IE","LSEETF*"
"BCCU","UBS ETF BBG COMM CMCI USD","BCCU","USD","ETF","IE","LSE*"
"BCPALU","BBG PALLADIUM SUBINDEX","BCPALU","USD","ETF","CH","EBS*"
"BENE","WT ENERGY ENHANCED","BENE","USD","ETF","IE","LSEETF*"
"BIUS","-1X SHORT BIDU","BIUS","USD","ETF","IE","LSEETF*"
"BJLB","BNPP EASY ECPI GLOBAL INFRA","BJLB","USD","ETF","IE","IBIS*"
"BJLC","BNP ECPI CIRCULARECONOMY ETF","BJLC","USD","ETF","LU","IBIS*"
"BJLK","BNPPEASY USD CRP SRI-D","BJLK","USD","ETF","LU","IBIS*"
"BRND","WT BLOOMBERG BRENT CRUDE OIL","BRND","USD","ETF","IE","LSEETF*"
"BRTU","UBS ETC ON CMCI BRENT USD","BRTU","USD","ETF","CH","LSE*"
"BS28","IVZ BULLETSHARES 2028 USD D","BS28","USD","ETF","IE","LSEETF*"
"BS29","IVZ BULLETSHARES 2029 USD D","BS29","USD","ETF","IE","LSEETF*"
"BTCDUSD","FICAS DYNAMIC CRYPTO ETP","BTCDUSD","USD","ETF","CH","EBS*"
"BTEC","ISHARES NSDQ US BIOTECH UCIT","BTEC","USD","ETF","IE","EBS*"
"BU26","IVZ BULLETSHARES 2026 USD D","BU26","USD","ETF","IE","LSEETF*"
"BUYB","INVESCO GLOB BUYBACK ACHIEVE","BUYB","USD","ETF","IE","LSEETF*"
"C500","IVZ S&amp;P CHINA A MID 500 SWAP","C500","USD","ETF","IE","LSEETF*"
"C50U","AMUNDI EURO STOXX 50 ETF DR","C50U","USD","ETF","LU","EBS*"
"C5KE","CIRCA5000 SE EMPOWERMENT ETF","C5KE","USD","ETF","IE","LSEETF*"
"C5KF","CIRCA5000 SUST FOOD ETF","C5KF","USD","ETF","IE","LSEETF*"
"C5KG","CIRCA5000 GREEN ENERGY ETF","C5KG","USD","ETF","IE","LSEETF*"
"C5KH","CIRCA5000 HEALTH &amp; WELL ETF","C5KH","USD","ETF","IE","LSEETF*"
"CASH","L&amp;G E FUND MSCI CHINA A","CASH","USD","ETF","IE","LSEETF*"
"CATL","WT LIVE CATTLE","CATL","USD","ETF","JE","LSE*"
"CBIO","GX CHINABIOTECH UCITS ACC","CBIO","USD","ETF","IE","LSEETF*"
"CBSU5","UBS ETF US LIQCORPSU1-5 USDA","CBSU5","USD","ETF","LU","EBS*"
"CBTC","21SHARES BITCOIN CORE ETP","CBTC","USD","ETF","CH","EBS*"
"CCBO","WT AT1 COCO UCITS ETF USD","CCBO","USD","ETF","IE","LSEETF*"
"CESG","FT GLBL CAP STR ESG LDRS ETF","CESG","USD","ETF","IE","LSEETF*"
"CEUU","ISHARES CORE MSCI EMU-USD HA","CEUU","USD","ETF","IE","AEB*"
"CGBI","ISHARES CHINA CNY GOVT USD D","CGBI","USD","ETF","IE","AEB*"
"CGGD","ISHARES GLB GOVT BD CLIMATE","CGGD","USD","ETF","IE","EBS*"
