SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"1305","IFREE ETF-TOPIX","1305.T","JPY","ETF","JP","TSEJ*"
"1306","NEXT FUNDS TOPIX ETF","1306.T","JPY","ETF","JP","TSEJ*"
"1308","NIKKO ETF - TOPIX","1308.T","JPY","ETF","JP","TSEJ*"
"1309","NF CHINA SSE50 ETF","1309.T","JPY","ETF","JP","TSEJ*"
"1311","NF TOPIX CORE 30 ETF","1311.T","JPY","ETF","JP","TSEJ*"
"1319","NF NIKKEI 300 ETF","1319.T","JPY","ETF","JP","TSEJ*"
"1320","IFREE ETF-NIKKEI 225","1320.T","JPY","ETF","JP","TSEJ*"
"1321","NF NIKKEI 225 ETF","1321.T","JPY","ETF","JP","TSEJ*"
"1322","LISTED INDEX FUND CHINA A SH","1322.T","JPY","ETF","JP","TSEJ*"
"1325","NF BRAZIL IBOVESPA ETF","1325.T","JPY","ETF","JP","TSEJ*"
"1328","NF GOLD PRICE ETF","1328.T","JPY","ETF","JP","TSEJ*"
"1329","ISHARES CORE NIKKEI 225 ETF","1329.T","JPY","ETF","JP","TSEJ*"
"1330","NIKKO ETF - NKY 225","1330.T","JPY","ETF","JP","TSEJ*"
"133A","GLBL X ULTRA SHORT T-BILL","133A.T","JPY","ETF","JP","TSEJ*"
"1343","NF TSE REIT ETF","1343.T","JPY","ETF","JP","TSEJ*"
"1345","LISTED J-REIT BI MONTHLY DVD","1345.T","JPY","ETF","JP","TSEJ*"
"1346","MAXIS NIKKEI 225 ETF","1346.T","JPY","ETF","JP","TSEJ*"
"1348","MAXIS TOPIX ETF","1348.T","JPY","ETF","JP","TSEJ*"
"1356","SIMPLEX TOPIX BEAR 2X ETF","1356.T","JPY","ETF","JP","TSEJ*"
"1357","NF NIKKEI225 DBL INVERSE ETF","1357.T","JPY","ETF","JP","TSEJ*"
"1358","NIKKO-ETF NIKKEI LEVERAGED","1358.T","JPY","ETF","JP","TSEJ*"
"1360","SMPLX-NIKKEI AVR BR DBL ETF","1360.T","JPY","ETF","JP","TSEJ*"
"1364","ISHARES JPX NIKKEI 400 ETF","1364.T","JPY","ETF","JP","TSEJ*"
"1365","IFREE ETF NIKKEI 225 LEVERAG","1365.T","JPY","ETF","JP","TSEJ*"
"1366","IFREE ETF NIKKEI225 DOUBLE I","1366.T","JPY","ETF","JP","TSEJ*"
"1367","IFREE ETF TOPIX LEVERAGED 2X","1367.T","JPY","ETF","JP","TSEJ*"
"1368","IFREE ETF TOPIX DOUBLE INVER","1368.T","JPY","ETF","JP","TSEJ*"
"1369","ONE ETF NIKKEI 225","1369.T","JPY","ETF","JP","TSEJ*"
"1397","SMDAM NIKKEI225 ETF","1397.T","JPY","ETF","JP","TSEJ*"
"1398","SMDAM REIT INDEX ETF","1398.T","JPY","ETF","JP","TSEJ*"
"1399","NIKKO ETF MSCI JP EQ HD LV","1399.T","JPY","ETF","JP","TSEJ*"
"140A","IFREEETF 10 YEAR U.S. TREASU","140A.T","JPY","ETF","JP","TSEJ*"
"1456","IFREE ETF NIKKEI225 INVERSE","1456.T","JPY","ETF","JP","TSEJ*"
"1457","IFREE ETF TOPIX INVERSE","1457.T","JPY","ETF","JP","TSEJ*"
"1458","RAKUTEN NIKKEI LEVERAGED IDX","1458.T","JPY","ETF","JP","TSEJ*"
"1459","RAKUTEN NIKKEI DBL INVRS IDX","1459.T","JPY","ETF","JP","TSEJ*"
"1464","IFREE ETF JPX-NIKKEI 400 LEV","1464.T","JPY","ETF","JP","TSEJ*"
"1465","IFREE ETF JPX-NIKKEI 400 INV","1465.T","JPY","ETF","JP","TSEJ*"
"1466","IFREE ETF JPX-NIKKEI 400 DOU","1466.T","JPY","ETF","JP","TSEJ*"
"1469","SIMPLEX JPX 400 BEAR -2X DI","1469.T","JPY","ETF","JP","TSEJ*"
"1472","NF JPX-NIKKEI400 DBL INVERSE","1472.T","JPY","ETF","JP","TSEJ*"
"1473","ONE ETF TOPIX","1473.T","JPY","ETF","JP","TSEJ*"
"1474","ONE ETF JPX NIKKEI 400","1474.T","JPY","ETF","JP","TSEJ*"
"1475","ISHARES CORE TOPIX ETF","1475.T","JPY","ETF","JP","TSEJ*"
"1476","ISHARES CORE JAPAN REIT ETF","1476.T","JPY","ETF","JP","TSEJ*"
"1477","ISHARES MSCI JPN MIN VOLT","1477.T","JPY","ETF","JP","TSEJ*"
"1478","ISHARES MSCI JPN HIGH DVD","1478.T","JPY","ETF","JP","TSEJ*"
"1479","IFREE ETF MSCI HUMAN AND PHY","1479.T","JPY","ETF","JP","TSEJ*"
"1480","NF JAPAN ENTERPRISE VALALLOC","1480.T","JPY","ETF","JP","TSEJ*"
"1481","LISTED JAPAN ECO CONTRIBUTOR","1481.T","JPY","ETF","JP","TSEJ*"
"1482","ISHARES CORE 7-10YR UST HEDG","1482.T","JPY","ETF","JP","TSEJ*"
"1483","ISHARES JPX/SP CAPEX CAP ETF","1483.T","JPY","ETF","JP","TSEJ*"
"1484","ONE ETF JPX/S&amp;P CAPEX &amp; HUMA","1484.T","JPY","ETF","JP","TSEJ*"
"1485","MAXIS JPN HUMAN CAP 200 ETF","1485.T","JPY","ETF","JP","TSEJ*"
"1486","NIKKO ETF US BOND NO HEDGE","1486.T","JPY","ETF","JP","TSEJ*"
"1487","NIKKO ETF US BOND HEDGE","1487.T","JPY","ETF","JP","TSEJ*"
"1488","IFREE ETF TOKYO STOCK EXCHAN","1488.T","JPY","ETF","JP","TSEJ*"
"1489","NF NIKKEI HIGHDIVIDEND YLD50","1489.T","JPY","ETF","JP","TSEJ*"
"1490","NIKKO ETF MSCI JP EQ HI ETF","1490.T","JPY","ETF","JP","TSEJ*"
"1493","ONE ETF JPX-NIKKEI MID SMALL","1493.T","JPY","ETF","JP","TSEJ*"
"1494","ONE ETF HIGH DIVIDEND JP EQY","1494.T","JPY","ETF","JP","TSEJ*"
"1495","LISTED ASIAN REIT","1495.T","JPY","ETF","JP","TSEJ*"
"1496","ISHARES US IG CB JP HGD ETF","1496.T","JPY","ETF","JP","TSEJ*"
"1497","ISHARES US HY CB JP HGD ETF","1497.T","JPY","ETF","JP","TSEJ*"
"1498","ONE ETF ESG","1498.T","JPY","ETF","JP","TSEJ*"
"1499","MAXIS JP EQY HI DVD 70 MKTN","1499.T","JPY","ETF","JP","TSEJ*"
"1540","JAPAN PHYSICAL GOLD ETF/MUFG","1540.T","JPY","ETF","JP","TSEJ*"
"1541","JAPAN PHYSICAL PLAT ETF/MUFG","1541.T","JPY","ETF","JP","TSEJ*"
"1542","JAPAN PHYSICAL SILV ETF/MUFG","1542.T","JPY","ETF","JP","TSEJ*"
"1543","JAPAN PHYSICAL PALL ETF/MUFG","1543.T","JPY","ETF","JP","TSEJ*"
"1545","NF NASDAQ-100 R UNHDG ETF","1545.T","JPY","ETF","JP","TSEJ*"
"1546","NF NY DJIA 30 UNHDG ETF","1546.T","JPY","ETF","JP","TSEJ*"
"1547","NIKKO ETF US EQUITY S&amp;P500","1547.T","JPY","ETF","JP","TSEJ*"
"1550","MAXIS GLOBAL EQT MSCI KO ETF","1550.T","JPY","ETF","JP","TSEJ*"
"1551","TSE STANDARD TOP20 ETF","1551.T","JPY","ETF","JP","TSEJ*"
"1554","NIKKO ETF MSCI ACWI EX JAPAN","1554.T","JPY","ETF","JP","TSEJ*"
"1555","NIKKO ETF S&amp;P ASX200 A-REIT","1555.T","JPY","ETF","JP","TSEJ*"
"1559","NF THAI SET50 ETF","1559.T","JPY","ETF","JP","TSEJ*"
"1560","NF MALAYSIA KLCI ETF","1560.T","JPY","ETF","JP","TSEJ*"
"1563","TSE GROWTH CORE ETF","1563.T","JPY","ETF","JP","TSEJ*"
"1566","LISTED INDEX FUND EMERGING B","1566.T","JPY","ETF","JP","TSEJ*"
"1568","SIMPLEX TOPIX BULL 2X ETF","1568.T","JPY","ETF","JP","TSEJ*"
"1569","SIMPLEX TOPIX BEAR -1X ETF","1569.T","JPY","ETF","JP","TSEJ*"
