SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"CGMU","CAPITAL GROUP MUNI INC ETF","CGMU","USD","ETF","US","ARCA*"
"CGRO","COREVALUE ALPHA GR CHINA GRW","CGRO","USD","ETF","US","ARCA*"
"CGSD","CAP GROUP SHORT DURATION INC","CGSD","USD","ETF","US","ARCA*"
"CGSM","CAPITAL GRP SHRT DUR MI ETF","CGSM","USD","ETF","US","ARCA*"
"CGUS","CAPITAL GROUP CORE EQUITY","CGUS","USD","ETF","US","ARCA*"
"CGV","CONDUCTOR GLOBAL EQ VAL ETF","CGV","USD","ETF","US","NYSE*"
"CGW","INVESCO S&amp;P GLOBAL WATER IND","CGW","USD","ETF","US","ARCA*"
"CGW","INVESCO S&amp;P GLOBAL WATER IND","CGW","MXN","ETF","US","MEXI*"
"CGXU","CAPITAL GROUP INTL FOCUS ETY","CGXU","USD","ETF","US","ARCA*"
"CHAT","ROUNDHILL GEN AI &amp; TECH ETF","CHAT","USD","ETF","US","ARCA*"
"CHAU","DRX DLY CHINA A-SHR BULL 2X","CHAU","USD","ETF","US","ARCA*"
"CHAU","DRX DLY CHINA A-SHR BULL 2X","CHAU","MXN","ETF","US","MEXI*"
"CHB","GLOBAL X CHINA BIOTECH INNOV","CHB","MXN","ETF","US","MEXI*"
"CHGX","AXS CHANGE FINANCE ESG ETF","CHGX","USD","ETF","US","ARCA*"
"CHIC","GLOBAL X MSCI CHINA COMMUNIC","CHIC","MXN","ETF","US","MEXI*"
"CHIE","GLOBAL X MSCI CHINA ENERGY E","CHIE","MXN","ETF","US","MEXI*"
"CHIH","GLOBAL X MSCI CHINA HEALTH","CHIH","MXN","ETF","US","MEXI*"
"CHII","GLOBAL X MSCI CHINA INDUSTRI","CHII","MXN","ETF","US","MEXI*"
"CHIK","GLOBAL X MSCI CHINA INFO ETF","CHIK","MXN","ETF","US","MEXI*"
"CHIM","GLOBAL X MSCI CHINA MATERIAL","CHIM","MXN","ETF","US","MEXI*"
"CHIQ","GLOBAL X MSCI CHINA CONSUMER","CHIQ","MXN","ETF","US","MEXI*"
"CHIQ","GLOBAL X MSCI CHINA CONSUMER","CHIQ","USD","ETF","US","ARCA*"
"CHIR","GBL X MSCI CHINA REAL ESTATE","CHIR","MXN","ETF","US","MEXI*"
"CHIS","GBL X MSCI CHINA CONSUMER ST","CHIS","MXN","ETF","US","MEXI*"
"CHIU","GLOBAL X MSCI CHINA UTIL ETF","CHIU","MXN","ETF","US","MEXI*"
"CHIX","GLOBAL X MSCI CHINA FINANCIA","CHIX","MXN","ETF","US","MEXI*"
"CHPS","XTRACKERS SEMICONDUCTOR ETF","CHPS","USD","ETF","US","NASDAQ*"
