SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"EQTY","KOVITZ CORE EQUITY ETF","EQTY","USD","ETF","US","ARCA*"
"EQUL","IQ ENGENDER EQUALITY ETF","EQUL","USD","ETF","US","ARCA*"
"EQWL","INVESCO S&amp;P 100 EQUAL WEIGHT","EQWL","USD","ETF","US","ARCA*"
"ERET","ISHARES ENV AWARE RE ESTATE","ERET","USD","ETF","US","NASDAQ*"
"ERNZ","TRUESHARES ACTIVE YIELD ETF","ERNZ","USD","ETF","US","NASDAQ*"
"ERTH","INVESCO MSCI SUSTAINABLE FUT","ERTH","USD","ETF","US","ARCA*"
"ERX","DIREXION DAILY ENERGY BULL 2","ERX","USD","ETF","US","ARCA*"
"ERX","DIREXION DAILY ENERGY BULL 2","ERX","MXN","ETF","US","MEXI*"
"ERY","DIREXION DAILY ENERGY BEAR 2","ERY","MXN","ETF","US","MEXI*"
"ERY","DIREXION DAILY ENERGY BEAR 2","ERY","USD","ETF","US","ARCA*"
"ESG","FLEXSHARES STOXX US ESG SELE","ESG","USD","ETF","US","BATS*"
"ESGA","AMERICAN CENTURY SUSTAINABLE","ESGA","USD","ETF","US","ARCA*"
"ESGB","IQ MACKAY ESG CORE PLUS BOND","ESGB","USD","ETF","US","ARCA*"
"ESGD","ISHARES TRUST ISHARES ESG AW","ESGD","MXN","ETF","US","MEXI*"
"ESGD","ISHARES TRUST ISHARES ESG AW","ESGD","USD","ETF","US","NASDAQ*"
"ESGE","ISHARES INC ISHARES ESG AWAR","ESGE","USD","ETF","US","NASDAQ*"
"ESGG","FLEXSHARES STOXX GLOBAL ESG","ESGG","USD","ETF","US","BATS*"
"ESGN","CLMBIA INT ESG EQTY INC ETF","ESGN","USD","ETF","US","ARCA*"
"ESGS","COLUMBIA US ESG EQTY INC ETF","ESGS","USD","ETF","US","ARCA*"
"ESGU","ISHARES ESG AWARE MSCI USA","ESGU","USD","ETF","US","NASDAQ*"
"ESGU","ISHARES ESG AWARE MSCI USA","ESGU","MXN","ETF","US","MEXI*"
"ESGV","VANGUARD ESG US STOCK ETF","ESGV","MXN","ETF","US","MEXI*"
"ESGV","VANGUARD ESG US STOCK ETF","ESGV","USD","ETF","US","BATS*"
"ESGY","AMERICAN CENT SUST GROWTH","ESGY","USD","ETF","US","ARCA*"
"ESIX","SPDR S&amp;P SMALLCAP 600 ESG","ESIX","USD","ETF","US","ARCA*"
"ESML","ISHARES ESG AWARE MSCI USA S","ESML","USD","ETF","US","BATS*"
"ESML","ISHARES ESG AWARE MSCI USA S","ESML","MXN","ETF","US","MEXI*"
"ESMV","ISHARES ESG MSCI USA MIN VOL","ESMV","USD","ETF","US","NASDAQ*"
"ESPO","VANECK VIDEOGAMING ESPORTS","ESPO","USD","ETF","US","NASDAQ*"
"ESUS","ESTRACS 2X LEV MSCI US ESG","ESUS","USD","ETF","US","ARCA*"
