SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"GDX","VANECK GOLD MINERS ETF","GDX","USD","ETF","US","ARCA*"
"GDXD","MICROSECTORS GOLD MINERS -3X","GDXD","USD","ETF","US","ARCA*"
"GDXD.OLD","MICROSECTORS GOLD MINERS -3X","GDXD.OLD","null","ETF","US","ARCA*"
"GDXJ","VANECK JUNIOR GOLD MINERS","GDXJ","USD","ETF","US","ARCA*"
"GDXU","MICROSECTORS GOLD MINERS 3X","GDXU","USD","ETF","US","ARCA*"
"GDXY","YLDMAX GOLD MIN OP IN ST ETF","GDXY","USD","ETF","US","ARCA*"
"GEM","GOLDMAN SACHS ACTIVEBETA EM","GEM","USD","ETF","US","ARCA*"
"GEM","GOLDMAN SACHS ACTIVEBETA EM","GEM","MXN","ETF","US","MEXI*"
"GEMD","GOLDMAN ACCESS EM USD BOND","GEMD","USD","ETF","US","BATS*"
"GENM","GENTER CAPITAL MUNICIPAL","GENM","USD","ETF","US","ARCA*"
"GENT","GENTER CAPITAL TAXABLE","GENT","USD","ETF","US","ARCA*"
"GENY","PRINCIPAL MILLENNIALS ETF","GENY","MXN","ETF","US","MEXI*"
"GEQ1","INVESCO NASDAQ NEXT GEN 100","GEQ1","EUR","ETF","US","GETTEX*"
"GERM","AMPLIFY TREAT TEST AND ADVA","GERM","USD","ETF","US","ARCA*"
"GFEB","FT VEST US EQUITY MODERATE B","GFEB","USD","ETF","US","BATS*"
"GFGF","GURU FAVORITE STOCKS ETF","GFGF","USD","ETF","US","NASDAQ*"
"GFOF","GRAYSCALE FUTURE OF FINANCE","GFOF","USD","ETF","US","ARCA*"
"GGLL","DIREXION DAILY GOOGL BULL 2X","GGLL","USD","ETF","US","NASDAQ*"
"GGLS","DIREXION DAILY GOOGL BEAR 1X","GGLS","USD","ETF","US","NASDAQ*"
"GGM","GGM MACRO ALIGNMENT ETF","GGM","USD","ETF","US","ARCA*"
"GGME","INVESCO NEXT GEN MEDIA AND G","GGME","USD","ETF","US","ARCA*"
"GGRW","GABELLI GLOBAL GROWTH ETF","GGRW","USD","ETF","US","ARCA*"
"GGUS","GOLDMAN SS MB RL 1000 GE ETF","GGUS","USD","ETF","US","ARCA*"
"GHEE","GH ENHANCED EQTY ETF","GHEE","USD","ETF","US","BATS*"
"GHMS","GOOSE HLW MULT STRAT INC ETF","GHMS","USD","ETF","US","BATS*"
"GHTA","GOOSE HOLLOW TACTICAL ALLOC","GHTA","USD","ETF","US","BATS*"
"GHYB","GOLDMAN SACHS ACCESS HY CORP","GHYB","USD","ETF","US","ARCA*"
"GHYB","GOLDMAN SACHS ACCESS HY CORP","GHYB","MXN","ETF","US","MEXI*"
"GHYG","ISHARES US&amp;INTL HIGH YIELD C","GHYG","USD","ETF","US","BATS*"
"GIGB","GOLDMAN SACHS INV GRD CORP","GIGB","USD","ETF","US","ARCA*"
