SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"IRTR","ISHARES LIFEPATH RETIREMENT","IRTR","USD","ETF","US","ARCA*"
"IRVH","GLOBAL X INTEREST RT VOL INF","IRVH","USD","ETF","US","ARCA*"
"ISCB","ISHARES MORNINGSTAR SMALL-CA","ISCB","USD","ETF","US","ARCA*"
"ISCF","ISHARES INTERNATIONAL SMALL","ISCF","USD","ETF","US","ARCA*"
"ISCG","ISHARES MORNINGSTAR SMALL-CA","ISCG","USD","ETF","US","ARCA*"
"ISCV","ISHARES MORNINGSTAR SMALL-CA","ISCV","USD","ETF","US","ARCA*"
"ISDB","INVESCO SHORT DUR BOND ETF","ISDB","USD","ETF","US","BATS*"
"ISEP","INNOVATOR INTL DEV EQ POWER","ISEP","USD","ETF","US","ARCA*"
"ISHG","ISHARES -3 YEAR INTERNATIONA","ISHG","USD","ETF","US","NASDAQ*"
"ISHP","FIRST TRUST S-NETWORK E-COMM","ISHP","USD","ETF","US","NASDAQ*"
"ISMD","INSPIRE SMALL/MID CAP ETF","ISMD","USD","ETF","US","ARCA*"
"ISPY","PROSHARES S&amp;P HIGH INCOM ETF","ISPY","USD","ETF","US","BATS*"
"ISRA","VANECK ISRAEL ETF","ISRA","USD","ETF","US","ARCA*"
"ISTB","ISHARES CORE 1-5 YEAR USD BO","ISTB","USD","ETF","US","NASDAQ*"
"ISVL","ISHARES INTERNATIONAL DEVELO","ISVL","USD","ETF","US","BATS*"
"ISWN","AMPLIFY INTERNATIONAL BLACKS","ISWN","USD","ETF","US","ARCA*"
"ISZE","ISHARES MSCI INTERNATIONAL S","ISZE","USD","ETF","US","ARCA*"
"ITA","ISHARES U.S. AEROSPACE &amp; DEF","ITA","USD","ETF","US","BATS*"
"ITAN","SPARKLINE INTANGIBLE VAL ETF","ITAN","USD","ETF","US","ARCA*"
"ITB","ISHARES U.S. HOME CONSTRUCTI","ITB","MXN","ETF","US","MEXI*"
"ITB","ISHARES U.S. HOME CONSTRUCTI","ITB","USD","ETF","US","BATS*"
"ITDA","ISHARES LFEPTH TRGT 2025","ITDA","USD","ETF","US","ARCA*"
"ITDB","ISHARES LIFEPATH TARGET 2030","ITDB","USD","ETF","US","ARCA*"
"ITDC","ISHARES LIFEPATH TARGET 2035","ITDC","USD","ETF","US","ARCA*"
"ITDD","ISHARES LFEPTH TRGT 2040","ITDD","USD","ETF","US","ARCA*"
"ITDE","ISHARES LIFEPTH TARG DT 2045","ITDE","USD","ETF","US","ARCA*"
"ITDF","ISHARES LIFEPTH TARG DT 2050","ITDF","USD","ETF","US","ARCA*"
"ITDG","ISHARES LIFEPTH TARG DT 2055","ITDG","USD","ETF","US","ARCA*"
"ITDH","ISHARES TARGET DATE 2060","ITDH","USD","ETF","US","ARCA*"
"ITDI","ISHARES LIFEPATH TARGET 2065","ITDI","USD","ETF","US","ARCA*"
"ITEQ","AMPLIFY BLUESTAR ISRAEL TECH","ITEQ","USD","ETF","US","ARCA*"
"ITM","VANECK INTERMEDIATE MUNI ETF","ITM","USD","ETF","US","BATS*"
"ITOT","ISHARES CORE S&amp;P TOTAL U.S.","ITOT","USD","ETF","US","ARCA*"
"ITOT","ISHARES CORE S&amp;P TOTAL U.S.","ITOT","MXN","ETF","US","MEXI*"
"IUS","INVESCO RAFI STRATEGIC US ET","IUS","USD","ETF","US","NASDAQ*"
"IUSB","ISHARES CORE TOTAL BOND ETF","IUSB","USD","ETF","US","NASDAQ*"
"IUSG","ISHARES CORE S&amp;P U.S. GROWTH","IUSG","USD","ETF","US","NASDAQ*"
"IUSV","ISHARES CORE S&amp;P U.S. VALUE","IUSV","USD","ETF","US","NASDAQ*"
"IUSV","ISHARES CORE S&amp;P U.S. VALUE","IUSV","MXN","ETF","US","MEXI*"
"IVAL","ALPHA ARCHI INTL QT VLU ETF","IVAL","USD","ETF","US","NASDAQ*"
"IVE","ISHARES S&amp;P 500 VALUE ETF","IVE","MXN","ETF","US","MEXI*"
"IVE","ISHARES S&amp;P 500 VALUE ETF","IVE","USD","ETF","US","ARCA*"
"IVEG","ISHARES EM FOOD &amp; AGTECH","IVEG","USD","ETF","US","NASDAQ*"
"IVEG","ISHARES EM FOOD &amp; AGTECH","IVEG","MXN","ETF","US","MEXI*"
"IVES","AMPLIFY GLOBAL CLOUD TECH","IVES","USD","ETF","US","ARCA*"
"IVLU","ISHARES MSCI INTERNATIONAL V","IVLU","USD","ETF","US","ARCA*"
"IVOG","VANGUARD S&amp;P MID-CAP 400 GRO","IVOG","USD","ETF","US","ARCA*"
"IVOL","QUADRATIC INT RTE VOL INFL H","IVOL","USD","ETF","US","ARCA*"
"IVOO","VANGUARD S&amp;P MID-CAP 400 ETF","IVOO","USD","ETF","US","ARCA*"
"IVOV","VANGUARD S&amp;P MID-CAP 400 VAL","IVOV","USD","ETF","US","ARCA*"
"IVRA","INVESCO REAL ASSETS ESG ETF","IVRA","USD","ETF","US","BATS*"
"IVRS","ISHARES FUT META TECH &amp; COMM","IVRS","USD","ETF","US","ARCA*"
"IVRS","ISHARES FUT META TECH &amp; COMM","IVRS","MXN","ETF","US","MEXI*"
"IVV","ISHARES CORE S&amp;P 500 ETF","IVV","MXN","ETF","US","MEXI*"
"IVV","ISHARES CORE S&amp;P 500 ETF","IVV","USD","ETF","US","ARCA*"
"IVVB","ISHARES LG CAP DEEP BUFF ETF","IVVB","USD","ETF","US","BATS*"
"IVVM","ISHARES LG CAP MOD BUFF ETF","IVVM","USD","ETF","US","BATS*"
"IVVW","ISHARES S&amp;P 500 BUYWRITE ETF","IVVW","USD","ETF","US","BATS*"
"IVW","ISHARES S&amp;P 500 GROWTH ETF","IVW","USD","ETF","US","ARCA*"
"IWB","ISHARES RUSSELL 1000 ETF","IWB","USD","ETF","US","ARCA*"
"IWC","ISHARES MICRO-CAP ETF","IWC","USD","ETF","US","ARCA*"
"IWC","ISHARES MICRO-CAP ETF","IWC","MXN","ETF","US","MEXI*"
"IWD","ISHARES RUSSELL 1000 VALUE E","IWD","USD","ETF","US","ARCA*"
"IWD","ISHARES RUSSELL 1000 VALUE E","IWD","MXN","ETF","US","MEXI*"
"IWDL","ETRACS 2X VALUE FACTR TR","IWDL","USD","ETF","US","ARCA*"
"IWF","ISHARES RUSSELL 1000 GROWTH","IWF","USD","ETF","US","ARCA*"
"IWF","ISHARES RUSSELL 1000 GROWTH","IWF","MXN","ETF","US","MEXI*"
"IWFG","IQ WINSLOW FOCUSED LARGE CAP","IWFG","USD","ETF","US","ARCA*"
"IWFH","ISHARES VIRTUAL WORK &amp; LIFE","IWFH","USD","ETF","US","ARCA*"
"IWFL","ETRACS 2X GROWTH FACTR TR","IWFL","USD","ETF","US","ARCA*"
"IWIN","AMPLIFY INFLATION FIGHTER","IWIN","USD","ETF","US","ARCA*"
"IWL","ISHARES RUSSELL TOP 200 ETF","IWL","USD","ETF","US","ARCA*"
"IWLG","IQ WINSLOW LARGE CAP GROWTH","IWLG","USD","ETF","US","ARCA*"
"IWM","ISHARES RUSSELL 2000 ETF","IWM","MXN","ETF","US","MEXI*"
"IWM","ISHARES RUSSELL 2000 ETF","IWM","USD","ETF","US","ARCA*"
"IWML","ETRACS 2X SIZE FACTR TR","IWML","USD","ETF","US","ARCA*"
"IWMW","ISHARES RUSSELL 2000 BUYWRIT","IWMW","USD","ETF","US","BATS*"
"IWMY","DEFIANCE R2000 E OP INC ETF","IWMY","USD","ETF","US","ARCA*"
"IWN","ISHARES RUSSELL 2000 VALUE E","IWN","USD","ETF","US","ARCA*"
"IWN","ISHARES RUSSELL 2000 VALUE E","IWN","MXN","ETF","US","MEXI*"
"IWO","ISHARES RUSSELL 2000 GROWTH","IWO","USD","ETF","US","ARCA*"
"IWO","ISHARES RUSSELL 2000 GROWTH","IWO","MXN","ETF","US","MEXI*"
"IWP","ISHARES RUSSELL MID-CAP GROW","IWP","USD","ETF","US","ARCA*"
"IWR","ISHARES RUSSELL MID-CAP ETF","IWR","USD","ETF","US","ARCA*"
"IWS","ISHARES RUSSELL MID-CAP VALU","IWS","USD","ETF","US","ARCA*"
"IWTR","ISHARES MSCI WATER MGMT MSEC","IWTR","USD","ETF","US","NASDAQ*"
"IWV","ISHARES RUSSELL 3000 ETF","IWV","USD","ETF","US","ARCA*"
"IWX","ISHARES RUSSELL TOP 200 VALU","IWX","USD","ETF","US","ARCA*"
"IWY","ISHARES RUSSELL TOP 200 GROW","IWY","USD","ETF","US","ARCA*"
"IXC","ISHARES GLOBAL ENERGY ETF","IXC","USD","ETF","US","ARCA*"
"IXG","ISHARES GLOBAL FINANCIALS ET","IXG","USD","ETF","US","ARCA*"
"IXJ","ISHARES GLOBAL HEALTHCARE ET","IXJ","MXN","ETF","US","MEXI*"
"IXJ","ISHARES GLOBAL HEALTHCARE ET","IXJ","USD","ETF","US","ARCA*"
"IXN","ISHARES GLOBAL TECH ETF","IXN","USD","ETF","US","ARCA*"
"IXP","ISHARES GLOBAL COMM SERVICES","IXP","USD","ETF","US","ARCA*"
"IXUS","ISHARES CORE INTL STOCK ETF","IXUS","MXN","ETF","US","MEXI*"
"IXUS","ISHARES CORE INTL STOCK ETF","IXUS","USD","ETF","US","NASDAQ*"
"IYC","ISHARES US CONSUMER DISCRETI","IYC","USD","ETF","US","ARCA*"
"IYE","ISHARES U.S. ENERGY ETF","IYE","USD","ETF","US","ARCA*"
"IYF","ISHARES U.S. FINANCIALS ETF","IYF","USD","ETF","US","ARCA*"
"IYG","ISHARES U.S. FINANCIAL SERVI","IYG","USD","ETF","US","ARCA*"
"IYH","ISHARES U.S. HEALTHCARE ETF","IYH","USD","ETF","US","ARCA*"
"IYH","ISHARES U.S. HEALTHCARE ETF","IYH","MXN","ETF","US","MEXI*"
"IYJ","ISHARES U.S. INDUSTRIALS ETF","IYJ","USD","ETF","US","BATS*"
"IYK","ISHARES US CONSUMER STAPLES","IYK","USD","ETF","US","ARCA*"
"IYLD","ISHARES MORNINGSTAR MULTI-AS","IYLD","USD","ETF","US","BATS*"
"IYM","ISHARES U.S. BASIC MATERIALS","IYM","USD","ETF","US","ARCA*"
"IYR","ISHARES US REAL ESTATE ETF","IYR","USD","ETF","US","ARCA*"
"IYT","ISHARES US TRANSPORTATION ET","IYT","MXN","ETF","US","MEXI*"
"IYT","ISHARES US TRANSPORTATION ET","IYT","USD","ETF","US","BATS*"
"IYW","ISHARES USTECHNOLOGY ETF","IYW","USD","ETF","US","ARCA*"
"IYY","ISHARES DOW JONES U.S. ETF","IYY","USD","ETF","US","ARCA*"
"IYZ","ISHARES US TELECOMMUNICATION","IYZ","USD","ETF","US","BATS*"
"IZRL","ARK ISRAEL INNOVATIVE TECHNO","IZRL","USD","ETF","US","BATS*"
"JAAA","JANUS HENDERSON AAA CLO ETF","JAAA","USD","ETF","US","ARCA*"
"JADE","JPM ACTIV DEVELOP MKT EQ ETF","JADE","USD","ETF","US","ARCA*"
"JAND","INNOV PREM INC 10 BARR - JAN","JAND","USD","ETF","US","BATS*"
"JANH","INNOV PREM INC 20 BARR - JAN","JANH","USD","ETF","US","BATS*"
"JANJ","INNOV PREM INC 30 BARR - JAN","JANJ","USD","ETF","US","BATS*"
"JANP","PGIM US L-C BUF 12 ETF - JAN","JANP","USD","ETF","US","BATS*"
"JANQ","INNOVATOR PREMIU I40 BAR JAN","JANQ","USD","ETF","US","BATS*"
"JANT","ALLIANZ US LRG CAP BUFF10 JA","JANT","USD","ETF","US","ARCA*"
"JANW","ALLIANZIM US LRG CAP BUFF20","JANW","USD","ETF","US","ARCA*"
"JANZ","TRUESHARES STRUCT OUTC JAN","JANZ","USD","ETF","US","BATS*"
"JAVA","JPMORGAN ACTIVE VALUE ETF","JAVA","USD","ETF","US","ARCA*"
"JBBB","JANUS HENDERSON B-BBB CLO ET","JBBB","USD","ETF","US","BATS*"
"JBND","JPMORGAN ACTIVE BOND ETF","JBND","USD","ETF","US","NYSE*"
"JCHI","JPMORGAN ACTIVE CHINA ETF","JCHI","USD","ETF","US","ARCA*"
"JCPB","JPMORGAN CORE PLUS BOND ETF","JCPB","USD","ETF","US","BATS*"
"JCPI","JP MORGAN INFLATION MGD BOND","JCPI","USD","ETF","US","BATS*"
"JCTR","JPMORGAN CARBON TRANSITION","JCTR","USD","ETF","US","ARCA*"
