SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"09K0","ARK SPACE EXPLORATION &amp; INNO","09K0","EUR","ETF","US","GETTEX*"
"09KA","THE 3D PRINTING ETF","09KA","EUR","ETF","US","GETTEX*"
"0BYB","ISHARES GLOBAL CLEAN ENERGY","0BYB","EUR","ETF","US","GETTEX*"
"2840","SPDR GOLD SHARES","2840","HKD","ETF","US","SEHK*"
"AAA","ALTERNATIVE ACCESS FIRST PRI","AAA","USD","ETF","US","ARCA*"
"AAAU","GOLDMAN SACHS PHYSICAL GOLD","AAAU","USD","ETF","US","BATS*"
"AAAU","GOLDMAN SACHS PHYSICAL GOLD","AAAU","MXN","ETF","US","MEXI*"
"AADR","ADVISORSHARES DORSEY WRIGHT","AADR","USD","ETF","US","NASDAQ*"
"AAPB","GRANITESHARES 2X LONG AAPL D","AAPB","USD","ETF","US","NASDAQ*"
"AAPD","DIREXION DAILY AAPL BEAR 1X","AAPD","USD","ETF","US","NASDAQ*"
"AAPR","IN ED PR ETF - 2YR TO A 2026","AAPR","USD","ETF","US","BATS*"
"AAPU","DIREXION DAILY AAPL BULL 2X","AAPU","USD","ETF","US","NASDAQ*"
"AAPX","T-REX 2X LNG APPLE DLY TRGT","AAPX","USD","ETF","US","BATS*"
"AAPY","KURV YEILD PREM STRATEGY","AAPY","USD","ETF","US","BATS*"
"AAXJ","ISHARES MSCI ALL COUNTRY ASI","AAXJ","MXN","ETF","US","MEXI*"
"AAXJ","ISHARES MSCI ALL COUNTRY ASI","AAXJ","USD","ETF","US","NASDAQ*"
"ABCS","ALPHA BLUE CAP US S-M DYN","ABCS","USD","ETF","US","NASDAQ*"
"ABEQ","ABSOLUTE SELECT VALUE ETF","ABEQ","USD","ETF","US","ARCA*"
"ACES","ALPS CLEAN ENERGY ETF","ACES","USD","ETF","US","ARCA*"
"ACIO","APTUS COLLARED INVESTMENT OP","ACIO","USD","ETF","US","BATS*"
"ACSI","AMERICAN CUSTOMER SATISFACTI","ACSI","USD","ETF","US","BATS*"
"ACTV","LEADERSHARES ACTIVIST LEADER","ACTV","USD","ETF","US","ARCA*"
"ACVF","AMERICAN CONSERVATIVE VALUES","ACVF","USD","ETF","US","ARCA*"
"ACWI","ISHARES MSCI ACWI ETF","ACWI","USD","ETF","US","NASDAQ*"
"ACWV","ISHARES MSCI GLOBAL MIN VOL","ACWV","USD","ETF","US","BATS*"
"ACWV","ISHARES MSCI GLOBAL MIN VOL","ACWV","MXN","ETF","US","MEXI*"
"ACWX","ISHARES MSCI ACWI EX US ETF","ACWX","USD","ETF","US","NASDAQ*"
"ADFI","ANFIELD DYNAMIC FIXED INCOME","ADFI","USD","ETF","US","BATS*"
"ADIV","SMARTETFS APAC DVD BUILDER","ADIV","USD","ETF","US","ARCA*"
"ADME","APTUS DRAWDOWN MANAGED EQUIT","ADME","USD","ETF","US","BATS*"
"ADPV","ADAPTIV SELECT ETF","ADPV","USD","ETF","US","ARCA*"
"ADVE","MATTHEWS ASIA DIVIDEND ETF","ADVE","USD","ETF","US","ARCA*"
"AEMB","AMERICAN CENT EMERG MARK BND","AEMB","USD","ETF","US","ARCA*"
"AESR","ANFIELD US EQUITY SECTOR ROT","AESR","USD","ETF","US","BATS*"
"AETH","BITWISE ETHER STRAT ETF","AETH","USD","ETF","US","ARCA*"
"AFIF","ANFIELD UNIVERSAL FIXED INCO","AFIF","USD","ETF","US","BATS*"
"AFK","VANECK AFRICA INDEX ETF","AFK","USD","ETF","US","ARCA*"
"AFLG","FIRST TRUST ACTIVE FACTOR LA","AFLG","USD","ETF","US","ARCA*"
"AFMC","FIRST TRUST ACTIVE FACTOR MI","AFMC","USD","ETF","US","ARCA*"
"AFSM","FIRST TRUST ACTIVE FACTOR SM","AFSM","USD","ETF","US","ARCA*"
"AFTY","PACER CSOP FTSE CHINA A50 ET","AFTY","USD","ETF","US","ARCA*"
"AGG","ISHARES CORE U.S. AGGREGATE","AGG","USD","ETF","US","ARCA*"
"AGG","ISHARES CORE U.S. AGGREGATE","AGG","MXN","ETF","US","MEXI*"
"AGGH","SIMPLIFY AGGREGATE BOND ETF","AGGH","USD","ETF","US","ARCA*"
"AGGS","HARBOR DISCIPLINED BOND ETF","AGGS","USD","ETF","US","ARCA*"
"AGGY","WISDOMTREE YIELD ENHANCED US","AGGY","USD","ETF","US","ARCA*"
"AGGY","WISDOMTREE YIELD ENHANCED US","AGGY","MXN","ETF","US","MEXI*"
"AGIH","ISHARES INFLATION HEDGED US","AGIH","USD","ETF","US","ARCA*"
"AGMI","THEMES SILVER MINERS ETF","AGMI","USD","ETF","US","NASDAQ*"
"AGNG","GLB X AGING POPULATION ETF","AGNG","MXN","ETF","US","MEXI*"
"AGNG","GLB X AGING POPULATION ETF","AGNG","USD","ETF","US","NASDAQ*"
